PONo,PODate,PRNo,VendorCode,VendorName,Vertical,ItemCode,ItemDescription,OrderedQty,UOM,UnitPrice,TotalAmount,Currency,PromisedDeliveryDate,PaymentTerms,ApprovedBy,Status,DeptCode,ProjectCode
PO-40118,2026-06-18,PR-30148,V-1037,RenewSys India,Solar Panels,I-5034,String Inverter 50kW,10,Nos,364018.48,3640184.78,INR,2026-06-24,Net 45,Hemal Chad,Partially Delivered,DEP-03,PRJ-103
PO-40119,2025-09-29,PR-30149,V-1051,Supreme Industries,Plumbing Materials,I-5052,PVC Elbow 4 inch,11,Nos,75.59,831.51,INR,2025-10-02,Net 30,David Seshadri,Closed,DEP-06,PRJ-106
PO-40120,2025-11-08,PR-30150,V-1055,CERA Sanitaryware,Plumbing Materials,I-5056,Concealed Cistern with Frame,29,Set,6807.04,197404.29,INR,2025-11-15,Net 30,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40121,2026-07-23,PR-30151,V-1021,ACC Limited,Road Construction Materials,I-5025,River Sand (fine aggregate),45,Ton,1477.42,66483.86,INR,2026-07-30,Advance 20% + Net 30,Januja Pradhan,Open,DEP-02,PRJ-102
PO-40122,2026-07-11,PR-30152,V-1004,V-Guard Industries,Electrical,I-5008,Earthing Strip GI 25x3mm,29,Mtr,97.96,2840.75,INR,2026-07-30,Advance 20% + Net 30,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40123,2026-04-05,PR-30154,V-1001,Polycab India,Electrical,I-5009,Contactor 40A 3 Pole,16,Nos,1369.14,21906.2,INR,2026-04-16,Net 30,David Seshadri,Closed,DEP-03,PRJ-103
PO-40124,2026-07-28,PR-30155,V-1033,Vikram Solar,Solar Panels,I-5033,Solar Module 550Wp Bifacial,26,Nos,13587.14,353265.71,INR,2026-08-17,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40125,2025-10-05,PR-30156,V-1054,Ashirvad Pipes (Aliaxis),Plumbing Materials,I-5053,Ball Valve 1 inch Brass,32,Nos,268.05,8577.69,INR,2025-10-11,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40126,2025-11-01,PR-30157,V-1009,Orient Electric,Electrical,I-5004,LED Flood Light 100W,60,Nos,1567.48,94049.01,INR,2025-11-19,Net 15,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40127,2025-12-27,PR-30158,V-1037,RenewSys India,Solar Panels,I-5033,Solar Module 550Wp Bifacial,29,Nos,12536.03,363544.78,INR,2026-01-11,Net 45,Hemal Chad,Partially Delivered,DEP-05,PRJ-105
PO-40128,2026-01-18,PR-30159,V-1058,Kajaria Ceramics,Plumbing Materials,I-5055,Sanitaryware Wash Basin,15,Nos,2092.24,31383.57,INR,2026-02-02,Net 60,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40129,2026-02-07,PR-30160,V-1013,Archidply Industries,Carpentry,I-5021,Adhesive Fevicol SH (5kg),5,Can,1158.54,5792.71,INR,2026-02-17,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40130,2025-10-25,PR-30161,V-1022,Ambuja Cements,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),19,Drum,9365.19,177938.52,INR,2025-10-30,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40131,2026-07-30,PR-30162,V-1003,Anchor by Panasonic,Electrical,I-5002,MCB 32A Single Pole,14,Nos,170.31,2384.36,INR,2026-08-10,Net 15,Reva Viswanathan,Partially Delivered,DEP-05,PRJ-105
PO-40132,2025-12-17,PR-30163,V-1004,V-Guard Industries,Electrical,I-5005,Modular Switch 6A,70,Nos,55.83,3908.21,INR,2025-12-21,Advance 20% + Net 30,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40133,2025-09-18,PR-30164,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,26,Nos,13920.98,361945.47,INR,2025-09-24,Net 30,Hemal Chad,Closed,DEP-03,PRJ-103
PO-40134,2025-09-14,PR-30165,V-1015,Action Tesa,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),49,Sheet,1000.13,49006.35,INR,2025-09-18,Net 30,David Seshadri,Partially Delivered,DEP-05,PRJ-105
PO-40135,2025-12-10,PR-30166,V-1004,V-Guard Industries,Electrical,I-5003,Distribution Board 8-Way,16,Nos,1145.43,18326.83,INR,2025-12-26,Advance 20% + Net 30,Reva Viswanathan,Partially Delivered,DEP-04,PRJ-104
PO-40136,2026-03-08,PR-30167,V-1046,Livguard Energy,Batteries,I-5048,Battery Monitoring System (BMS module),37,Nos,3985.71,147471.2,INR,2026-03-16,Net 15,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40137,2025-10-28,PR-30168,V-1053,Prince Pipes,Plumbing Materials,I-5052,PVC Elbow 4 inch,40,Nos,73.57,2942.85,INR,2025-11-12,Net 15,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40138,2026-06-20,PR-30169,V-1022,Ambuja Cements,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),4,Roll,4644.66,18578.65,INR,2026-06-24,Net 15,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40139,2026-02-15,PR-30170,V-1028,Birla Corporation,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,25,Ton,819.58,20489.46,INR,2026-02-20,Net 60,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40140,2026-08-04,PR-30171,V-1043,Su-Kam Power Systems,Batteries,I-5049,Deep Cycle Battery 200Ah,21,Nos,22284.74,467979.63,INR,2026-08-12,Net 15,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40141,2025-12-05,PR-30172,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5042,Tubular Battery 150Ah C10,41,Nos,13611.25,558061.34,INR,2025-12-12,Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40142,2026-04-20,PR-30173,V-1031,Waaree Energies,Solar Panels,I-5037,MC4 Connector Pair,36,Pair,89.19,3210.9,INR,2026-04-24,Net 30,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40143,2025-11-24,PR-30174,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5045,VRLA SMF Battery 12V 100Ah,12,Nos,8711.12,104533.5,INR,2025-12-07,Net 30,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40144,2026-07-10,PR-30175,V-1058,Kajaria Ceramics,Plumbing Materials,I-5052,PVC Elbow 4 inch,16,Nos,98.32,1573.17,INR,2026-07-21,Net 60,Balveer Kota,Closed,DEP-04,PRJ-104
PO-40145,2026-01-30,PR-30176,V-1004,V-Guard Industries,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),10,Coil,1469.19,14691.91,INR,2026-02-17,Advance 20% + Net 30,Balveer Kota,Partially Delivered,DEP-03,PRJ-103
PO-40146,2025-11-22,PR-30177,V-1049,Exicom Power Solutions,Batteries,I-5042,Tubular Battery 150Ah C10,45,Nos,13063.51,587857.73,INR,2025-12-12,Net 30,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40147,2026-03-27,PR-30178,V-1029,L&T Construction Materials,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,8,Ton,59527.25,476217.99,INR,2026-04-02,Net 30,Reva Viswanathan,Partially Delivered,DEP-02,PRJ-102
PO-40148,2025-12-19,PR-30179,V-1051,Supreme Industries,Plumbing Materials,I-5056,Concealed Cistern with Frame,11,Set,7821.89,86040.81,INR,2026-01-03,Net 30,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40149,2025-10-29,PR-30180,V-1039,Loom Solar,Solar Panels,I-5038,Combiner Box 6 in 1 out,9,Nos,6113.9,55025.13,INR,2025-11-10,Advance 20% + Net 30,Balveer Kota,Partially Delivered,DEP-05,PRJ-105
PO-40150,2026-01-19,PR-30181,V-1017,Hettich India,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),24,Sheet,3757.48,90179.63,INR,2026-01-29,Net 45,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40151,2026-05-23,PR-30183,V-1003,Anchor by Panasonic,Electrical,I-5011,Cable Gland Brass 25mm,23,Nos,53.55,1231.59,INR,2026-05-27,Net 15,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40152,2026-01-06,PR-30184,V-1055,CERA Sanitaryware,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),19,Pcs,1040.12,19762.36,INR,2026-01-14,Net 30,Balveer Kota,Partially Delivered,DEP-06,PRJ-106
PO-40153,2026-01-22,PR-30185,V-1012,Kitply Industries,Carpentry,I-5015,Hinges SS 4 inch,14,Pair,73.09,1023.3,INR,2026-01-25,Net 15,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40154,2026-02-03,PR-30186,V-1015,Action Tesa,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),5,Sheet,3687.81,18439.04,INR,2026-02-15,Net 30,David Seshadri,Closed,DEP-04,PRJ-104
PO-40155,2025-12-11,PR-30187,V-1055,CERA Sanitaryware,Plumbing Materials,I-5054,Water Tank 1000L HDPE,42,Nos,5839.11,245242.49,INR,2025-12-14,Net 30,Balveer Kota,Closed,DEP-06,PRJ-106
PO-40156,2025-12-29,PR-30188,V-1044,Okaya Power,Batteries,I-5047,Battery Interconnect Cable Set,7,Set,586.83,4107.82,INR,2026-01-18,Net 15,David Seshadri,Closed,DEP-05,PRJ-105
PO-40157,2026-02-04,PR-30190,V-1029,L&T Construction Materials,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),19,Roll,4510.28,85695.37,INR,2026-02-22,Net 30,Januja Pradhan,Partially Delivered,DEP-03,PRJ-103
PO-40158,2026-04-24,PR-30191,V-1022,Ambuja Cements,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),12,Roll,4529.66,54355.89,INR,2026-04-28,Net 15,Balveer Kota,Closed,DEP-02,PRJ-102
PO-40159,2026-07-23,PR-30192,V-1005,Crompton Greaves Consumer,Electrical,I-5006,Cable Tray 300mm (2m length),22,Nos,1086.53,23903.73,INR,2026-08-05,Advance 20% + Net 30,Januja Pradhan,Open,DEP-01,PRJ-101
PO-40160,2026-03-17,PR-30193,V-1024,JK Cement,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,20,Ton,56472.44,1129448.8,INR,2026-04-05,Advance 20% + Net 30,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40161,2025-09-11,PR-30194,V-1002,Finolex Cables,Electrical,I-5006,Cable Tray 300mm (2m length),14,Nos,820.49,11486.89,INR,2025-09-25,Advance 20% + Net 30,David Seshadri,Open,DEP-02,PRJ-102
PO-40162,2025-11-03,PR-30195,V-1043,Su-Kam Power Systems,Batteries,I-5042,Tubular Battery 150Ah C10,4,Nos,13591.09,54364.36,INR,2025-11-15,Net 15,David Seshadri,Closed,DEP-06,PRJ-106
PO-40163,2025-11-05,PR-30196,V-1034,Goldi Solar,Solar Panels,I-5041,Solar Cable Gland Set,15,Set,125.3,1879.44,INR,2025-11-14,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40164,2025-10-17,PR-30197,V-1001,Polycab India,Electrical,I-5010,MCCB 200A,34,Nos,7249.94,246497.87,INR,2025-10-28,Net 30,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40165,2026-04-08,PR-30198,V-1022,Ambuja Cements,Road Construction Materials,I-5027,Ready Mix Concrete M25,42,Cum,5462.55,229427.13,INR,2026-04-21,Net 15,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40166,2026-01-24,PR-30199,V-1022,Ambuja Cements,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,22,Ton,56748.37,1248464.22,INR,2026-01-31,Net 15,David Seshadri,Closed,DEP-04,PRJ-104
PO-40167,2026-07-16,PR-30200,V-1032,Adani Solar,Solar Panels,I-5034,String Inverter 50kW,33,Nos,411816.14,13589932.54,INR,2026-08-03,Net 60,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40168,2026-02-25,PR-30201,V-1043,Su-Kam Power Systems,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,25,Nos,9411.6,235289.95,INR,2026-03-11,Net 15,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40169,2026-05-12,PR-30202,V-1056,Jaquar Group,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),31,Pcs,380.33,11790.26,INR,2026-05-22,Net 15,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40170,2026-06-18,PR-30203,V-1028,Birla Corporation,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),7,Bag,377.44,2642.05,INR,2026-06-27,Net 60,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40171,2026-04-23,PR-30204,V-1034,Goldi Solar,Solar Panels,I-5037,MC4 Connector Pair,29,Pair,90.45,2622.99,INR,2026-05-12,Advance 20% + Net 30,David Seshadri,Closed,DEP-05,PRJ-105
PO-40172,2026-04-27,PR-30207,V-1040,Exide Industries,Batteries,I-5049,Deep Cycle Battery 200Ah,35,Nos,19184.08,671442.8,INR,2026-05-13,Net 45,Reva Viswanathan,Partially Delivered,DEP-01,PRJ-101
PO-40173,2026-04-26,PR-30209,V-1058,Kajaria Ceramics,Plumbing Materials,I-5054,Water Tank 1000L HDPE,63,Nos,6592.64,415336.34,INR,2026-05-16,Net 60,Hemal Chad,Closed,DEP-04,PRJ-104
PO-40174,2026-05-19,PR-30210,V-1039,Loom Solar,Solar Panels,I-5034,String Inverter 50kW,18,Nos,382972.49,6893504.91,INR,2026-06-04,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40175,2025-12-19,PR-30212,V-1038,Websol Energy System,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),29,Coil,3078.13,89265.83,INR,2026-01-08,Net 45,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40176,2026-06-14,PR-30213,V-1055,CERA Sanitaryware,Plumbing Materials,I-5055,Sanitaryware Wash Basin,49,Nos,2615.06,128137.8,INR,2026-07-04,Net 30,Hemal Chad,Open,DEP-04,PRJ-104
PO-40177,2026-03-15,PR-30214,V-1044,Okaya Power,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,8,Nos,113245.59,905964.75,INR,2026-03-28,Net 15,Hemal Chad,Closed,DEP-02,PRJ-102
PO-40178,2026-06-11,PR-30215,V-1028,Birla Corporation,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),7,Roll,4910.21,34371.46,INR,2026-06-30,Net 60,Januja Pradhan,Closed,DEP-06,PRJ-106
PO-40179,2026-03-02,PR-30217,V-1000,Havells India,Electrical,I-5010,MCCB 200A,29,Nos,7776.37,225514.73,INR,2026-03-17,Net 15,David Seshadri,Partially Delivered,DEP-06,PRJ-106
PO-40180,2026-06-03,PR-30218,V-1006,Legrand India,Electrical,I-5008,Earthing Strip GI 25x3mm,31,Mtr,107.0,3317.13,INR,2026-06-12,Net 45,Reva Viswanathan,Closed,DEP-01,PRJ-101
PO-40181,2025-09-30,PR-30219,V-1006,Legrand India,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),22,Coil,1442.2,31728.49,INR,2025-10-17,Net 45,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40182,2026-01-27,PR-30221,V-1023,Shree Cement,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,23,Ton,54368.52,1250475.91,INR,2026-02-11,Net 45,Januja Pradhan,Open,DEP-06,PRJ-106
PO-40183,2025-11-17,PR-30222,V-1031,Waaree Energies,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),54,Nos,2813.54,151931.04,INR,2025-11-26,Net 30,Balveer Kota,Open,DEP-01,PRJ-101
PO-40184,2026-06-23,PR-30223,V-1011,Greenply Industries,Carpentry,I-5014,MDF Board 12mm (8x4 ft),10,Sheet,1591.77,15917.69,INR,2026-06-29,Net 60,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40185,2026-02-16,PR-30224,V-1009,Orient Electric,Electrical,I-5003,Distribution Board 8-Way,17,Nos,1208.04,20536.64,INR,2026-03-02,Net 15,Reva Viswanathan,Partially Delivered,DEP-05,PRJ-105
PO-40186,2026-02-21,PR-30225,V-1002,Finolex Cables,Electrical,I-5011,Cable Gland Brass 25mm,37,Nos,52.92,1957.92,INR,2026-02-26,Advance 20% + Net 30,Hemal Chad,Partially Delivered,DEP-03,PRJ-103
PO-40187,2026-06-29,PR-30226,V-1008,KEI Industries,Electrical,I-5009,Contactor 40A 3 Pole,39,Nos,1503.04,58618.5,INR,2026-07-06,Net 30,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40188,2026-08-12,PR-30227,V-1028,Birla Corporation,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),20,Bag,359.47,7189.39,INR,2026-08-29,Net 60,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40189,2025-10-08,PR-30228,V-1045,HBL Power Systems,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,28,Nos,9347.61,261733.03,INR,2025-10-26,Net 45,David Seshadri,Partially Delivered,DEP-02,PRJ-102
PO-40190,2026-06-27,PR-30229,V-1041,Amara Raja Batteries (Amaron),Batteries,I-5046,Battery Rack 4-Tier MS,19,Nos,3363.16,63899.96,INR,2026-07-08,Net 30,Hemal Chad,Closed,DEP-06,PRJ-106
PO-40191,2025-11-26,PR-30230,V-1055,CERA Sanitaryware,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,34,Nos,1499.72,50990.58,INR,2025-12-02,Net 30,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40192,2025-09-14,PR-30231,V-1030,Tata Power Solar,Solar Panels,I-5038,Combiner Box 6 in 1 out,15,Nos,5790.33,86854.96,INR,2025-09-21,Net 60,Balveer Kota,Closed,DEP-02,PRJ-102
PO-40193,2025-10-16,PR-30232,V-1046,Livguard Energy,Batteries,I-5046,Battery Rack 4-Tier MS,41,Nos,2950.16,120956.53,INR,2025-10-23,Net 15,Hemal Chad,Open,DEP-06,PRJ-106
PO-40194,2025-11-01,PR-30233,V-1022,Ambuja Cements,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,45,Ton,760.51,34223.1,INR,2025-11-07,Net 15,Januja Pradhan,Closed,DEP-02,PRJ-102
PO-40195,2025-09-27,PR-30235,V-1036,Emmvee Solar,Solar Panels,I-5037,MC4 Connector Pair,22,Pair,86.47,1902.36,INR,2025-10-18,Net 45,Januja Pradhan,Partially Delivered,DEP-04,PRJ-104
PO-40196,2025-09-04,PR-30236,V-1026,Tata Steel,Road Construction Materials,I-5025,River Sand (fine aggregate),13,Ton,1292.66,16804.61,INR,2025-09-17,Net 60,David Seshadri,Closed,DEP-05,PRJ-105
PO-40197,2025-12-17,PR-30237,V-1037,RenewSys India,Solar Panels,I-5038,Combiner Box 6 in 1 out,16,Nos,5997.7,95963.14,INR,2025-12-29,Net 45,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40198,2025-12-24,PR-30238,V-1050,Astral Pipes,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),33,Pcs,339.73,11211.1,INR,2026-01-08,Net 60,David Seshadri,Cancelled,DEP-06,PRJ-106
PO-40199,2026-07-06,PR-30239,V-1046,Livguard Energy,Batteries,I-5049,Deep Cycle Battery 200Ah,9,Nos,21541.56,193874.02,INR,2026-07-25,Net 15,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40200,2026-01-31,PR-30240,V-1052,Finolex Pipes,Plumbing Materials,I-5058,Submersible Pump 1HP,9,Nos,7916.19,71245.7,INR,2026-02-14,Net 45,David Seshadri,Closed,DEP-06,PRJ-106
PO-40201,2025-09-14,PR-30241,V-1039,Loom Solar,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),20,Nos,2836.84,56736.73,INR,2025-09-28,Advance 20% + Net 30,Balveer Kota,Cancelled,DEP-04,PRJ-104
PO-40202,2026-04-26,PR-30242,V-1031,Waaree Energies,Solar Panels,I-5035,Module Mounting Structure (per kW),30,kW Set,4409.25,132277.42,INR,2026-05-08,Net 30,David Seshadri,Closed,DEP-02,PRJ-102
PO-40203,2026-05-10,PR-30243,V-1050,Astral Pipes,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,26,Nos,68.15,1771.98,INR,2026-05-16,Net 60,Reva Viswanathan,Closed,DEP-04,PRJ-104
PO-40204,2026-01-16,PR-30244,V-1032,Adani Solar,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,15,Nos,11192.42,167886.26,INR,2026-01-29,Net 60,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40205,2026-01-01,PR-30245,V-1029,L&T Construction Materials,Road Construction Materials,I-5025,River Sand (fine aggregate),40,Ton,1397.11,55884.54,INR,2026-01-08,Net 30,David Seshadri,Open,DEP-02,PRJ-102
PO-40206,2026-03-14,PR-30246,V-1058,Kajaria Ceramics,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,33,Nos,1666.94,55008.98,INR,2026-03-29,Net 60,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40207,2026-04-24,PR-30247,V-1023,Shree Cement,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,31,Ton,749.14,23223.36,INR,2026-05-15,Net 45,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40208,2026-05-17,PR-30248,V-1024,JK Cement,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,13,Ton,850.4,11055.15,INR,2026-05-25,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-05,PRJ-105
PO-40209,2026-05-07,PR-30249,V-1015,Action Tesa,Carpentry,I-5014,MDF Board 12mm (8x4 ft),17,Sheet,1660.46,28227.85,INR,2026-05-19,Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40210,2026-02-22,PR-30250,V-1006,Legrand India,Electrical,I-5011,Cable Gland Brass 25mm,12,Nos,51.4,616.82,INR,2026-03-08,Net 45,Januja Pradhan,Partially Delivered,DEP-06,PRJ-106
PO-40211,2025-10-13,PR-30251,V-1035,Premier Energies,Solar Panels,I-5039,Earthing Kit for Module Structure,14,Set,793.58,11110.17,INR,2025-11-03,Net 15,David Seshadri,Closed,DEP-06,PRJ-106
PO-40212,2026-04-20,PR-30252,V-1030,Tata Power Solar,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),31,Coil,2965.73,91937.58,INR,2026-04-30,Net 60,David Seshadri,Closed,DEP-05,PRJ-105
PO-40213,2025-10-28,PR-30253,V-1043,Su-Kam Power Systems,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,40,Nos,103716.98,4148679.27,INR,2025-11-14,Net 15,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40214,2026-01-23,PR-30254,V-1059,Roto Pumps,Plumbing Materials,I-5058,Submersible Pump 1HP,44,Nos,8333.21,366661.41,INR,2026-02-11,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-04,PRJ-104
PO-40215,2026-02-05,PR-30255,V-1027,JSW Steel,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,15,Ton,772.47,11587.01,INR,2026-02-08,Advance 20% + Net 30,Reva Viswanathan,Closed,DEP-03,PRJ-103
PO-40216,2026-04-05,PR-30256,V-1036,Emmvee Solar,Solar Panels,I-5035,Module Mounting Structure (per kW),27,kW Set,4758.03,128466.68,INR,2026-04-16,Net 45,Hemal Chad,Closed,DEP-01,PRJ-101
PO-40217,2026-04-01,PR-30257,V-1049,Exicom Power Solutions,Batteries,I-5046,Battery Rack 4-Tier MS,41,Nos,3319.39,136094.96,INR,2026-04-12,Net 30,Reva Viswanathan,Open,DEP-06,PRJ-106
PO-40218,2026-01-25,PR-30258,V-1010,Century Plyboards,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),29,Sheet,1087.9,31549.1,INR,2026-02-03,Net 45,Balveer Kota,Closed,DEP-01,PRJ-101
PO-40219,2025-10-10,PR-30259,V-1000,Havells India,Electrical,I-5006,Cable Tray 300mm (2m length),41,Nos,870.82,35703.68,INR,2025-10-20,Net 15,Reva Viswanathan,Closed,DEP-02,PRJ-102
PO-40220,2026-02-18,PR-30260,V-1024,JK Cement,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),28,Drum,9129.44,255624.19,INR,2026-03-02,Advance 20% + Net 30,David Seshadri,Closed,DEP-02,PRJ-102
PO-40221,2026-03-28,PR-30261,V-1049,Exicom Power Solutions,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,8,Nos,111558.67,892469.4,INR,2026-04-11,Net 30,Hemal Chad,Open,DEP-02,PRJ-102
PO-40222,2025-10-31,PR-30262,V-1037,RenewSys India,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),24,Nos,2851.65,68439.66,INR,2025-11-03,Net 45,Balveer Kota,Closed,DEP-03,PRJ-103
PO-40223,2026-06-21,PR-30263,V-1039,Loom Solar,Solar Panels,I-5035,Module Mounting Structure (per kW),19,kW Set,5050.0,95949.98,INR,2026-06-29,Advance 20% + Net 30,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40224,2025-09-13,PR-30264,V-1028,Birla Corporation,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,28,Ton,778.85,21807.77,INR,2025-09-22,Net 60,Reva Viswanathan,Closed,DEP-05,PRJ-105
PO-40225,2025-09-27,PR-30265,V-1030,Tata Power Solar,Solar Panels,I-5033,Solar Module 550Wp Bifacial,22,Nos,11895.33,261697.2,INR,2025-10-12,Net 60,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40226,2026-04-04,PR-30267,V-1001,Polycab India,Electrical,I-5008,Earthing Strip GI 25x3mm,14,Mtr,96.53,1351.45,INR,2026-04-09,Net 30,Januja Pradhan,Partially Delivered,DEP-06,PRJ-106
PO-40227,2026-06-19,PR-30268,V-1037,RenewSys India,Solar Panels,I-5034,String Inverter 50kW,5,Nos,389500.77,1947503.83,INR,2026-06-25,Net 45,Hemal Chad,Closed,DEP-05,PRJ-105
PO-40228,2026-02-20,PR-30269,V-1053,Prince Pipes,Plumbing Materials,I-5058,Submersible Pump 1HP,6,Nos,8236.78,49420.71,INR,2026-03-12,Net 15,Januja Pradhan,Closed,DEP-03,PRJ-103
PO-40229,2025-09-11,PR-30270,V-1055,CERA Sanitaryware,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,37,Nos,50.16,1856.07,INR,2025-09-22,Net 30,Januja Pradhan,Partially Delivered,DEP-01,PRJ-101
PO-40230,2025-10-24,PR-30271,V-1017,Hettich India,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,8,Pair,354.94,2839.56,INR,2025-11-11,Net 45,Januja Pradhan,Partially Delivered,DEP-02,PRJ-102
PO-40231,2026-02-28,PR-30272,V-1059,Roto Pumps,Plumbing Materials,I-5055,Sanitaryware Wash Basin,9,Nos,2325.71,20931.42,INR,2026-03-15,Advance 20% + Net 30,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40232,2026-04-20,PR-30273,V-1032,Adani Solar,Solar Panels,I-5038,Combiner Box 6 in 1 out,13,Nos,6566.05,85358.62,INR,2026-05-03,Net 60,Januja Pradhan,Closed,DEP-01,PRJ-101
PO-40233,2026-05-07,PR-30274,V-1008,KEI Industries,Electrical,I-5002,MCB 32A Single Pole,8,Nos,152.32,1218.58,INR,2026-05-17,Net 30,Reva Viswanathan,Closed,DEP-06,PRJ-106
PO-40234,2026-07-05,PR-30275,V-1017,Hettich India,Carpentry,I-5017,Door Lock Mortise Set,19,Set,1010.9,19207.15,INR,2026-07-12,Net 45,Hemal Chad,Closed,DEP-03,PRJ-103
