Month,Vertical,ItemCode,ItemDescription,VendorCode,UnitPrice,StandardPrice
2025-11,Batteries,I-5048,Battery Monitoring System (BMS module),V-1049,3970.76,4200
2026-07,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1020,1406.84,1450
2026-02,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1048,9600.14,9800
2026-03,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1058,334.95,380
2026-05,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1036,837.67,850
2026-03,Solar Panels,I-5037,MC4 Connector Pair,V-1033,92.96,95
2026-05,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1056,68.96,65
2026-01,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1041,9271.88,9800
2026-04,Batteries,I-5046,Battery Rack 4-Tier MS,V-1047,3314.0,3400
2025-11,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1011,3669.15,4200
2026-04,Electrical,I-5004,LED Flood Light 100W,V-1004,1794.93,1850
2025-10,Batteries,I-5042,Tubular Battery 150Ah C10,V-1041,13810.76,14500
2026-07,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1053,346.45,320
2026-02,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1022,60619.57,62000
2026-01,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1031,4708.41,4800
2026-07,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1056,2557.73,2450
2025-10,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1026,327.89,385
2026-02,Batteries,I-5048,Battery Monitoring System (BMS module),V-1045,4047.63,4200
2026-01,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1052,289.96,320
2025-11,Batteries,I-5048,Battery Monitoring System (BMS module),V-1043,3949.92,4200
2025-09,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1036,12748.37,14200
2026-01,Electrical,I-5002,MCB 32A Single Pole,V-1008,126.92,145
2026-05,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1032,3271.24,3200
2025-09,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1052,1485.17,1850
2026-06,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1055,1202.57,1150
2026-08,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1006,506.94,420
2025-11,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1019,1541.3,1650
2026-07,Batteries,I-5047,Battery Interconnect Cable Set,V-1047,627.49,650
2026-02,Batteries,I-5048,Battery Monitoring System (BMS module),V-1046,3730.54,4200
2025-12,Solar Panels,I-5034,String Inverter 50kW,V-1037,343274.7,385000
2025-11,Electrical,I-5006,Cable Tray 300mm (2m length),V-1009,902.44,980
2026-04,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1032,4838.01,4800
2026-07,Electrical,I-5007,Junction Box IP65,V-1000,217.32,210
2026-02,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1037,2968.44,3100
2026-04,Solar Panels,I-5037,MC4 Connector Pair,V-1037,91.9,95
2026-05,Batteries,I-5047,Battery Interconnect Cable Set,V-1042,643.54,650
2026-03,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1021,8587.4,9800
2026-05,Batteries,I-5042,Tubular Battery 150Ah C10,V-1044,13363.9,14500
2026-01,Batteries,I-5042,Tubular Battery 150Ah C10,V-1046,13247.28,14500
2026-05,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1026,363.79,385
2026-07,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1033,3108.33,3100
2026-05,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1033,3196.37,3200
2026-01,Electrical,I-5005,Modular Switch 6A,V-1007,64.02,65
2026-07,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1032,3181.79,3100
2026-04,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1009,426.6,420
2026-05,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1048,15995.41,16500
2026-06,Electrical,I-5005,Modular Switch 6A,V-1004,74.43,65
2025-12,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1056,292.78,320
2026-04,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1039,860.18,850
2026-06,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1058,1112.57,1150
2026-01,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1008,386.79,420
2025-09,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1055,75.42,95
2025-10,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1053,5539.52,6800
2025-12,Road Construction Materials,I-5030,Kerb Stone Precast,V-1028,203.7,210
2026-01,Electrical,I-5007,Junction Box IP65,V-1003,204.16,210
2026-04,Batteries,I-5046,Battery Rack 4-Tier MS,V-1044,3458.7,3400
2025-09,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1036,11184.26,12800
2026-03,Batteries,I-5047,Battery Interconnect Cable Set,V-1045,584.56,650
2025-12,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1032,789.04,850
2026-06,Batteries,I-5042,Tubular Battery 150Ah C10,V-1040,15030.76,14500
2025-12,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1054,954.25,1150
2026-01,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1019,4113.75,4200
2025-10,Electrical,I-5002,MCB 32A Single Pole,V-1000,116.61,145
2026-04,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1051,1127.72,1150
2025-11,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1038,2977.33,3100
2026-05,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1026,56684.94,58500
2026-03,Carpentry,I-5017,Door Lock Mortise Set,V-1015,852.26,950
2025-11,Electrical,I-5004,LED Flood Light 100W,V-1004,1547.97,1850
2025-11,Electrical,I-5002,MCB 32A Single Pole,V-1003,128.78,145
2025-12,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1058,1512.87,1850
2026-04,Carpentry,I-5015,Hinges SS 4 inch,V-1015,84.39,85
2026-04,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1027,51657.14,58500
2025-11,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1054,329.84,380
2026-03,Carpentry,I-5017,Door Lock Mortise Set,V-1012,933.9,950
2025-12,Batteries,I-5047,Battery Interconnect Cable Set,V-1048,594.43,650
2026-06,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,V-1022,65681.2,64500
2026-06,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1054,395.34,380
2026-02,Carpentry,I-5015,Hinges SS 4 inch,V-1015,74.67,85
2025-11,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1027,54519.88,58500
2026-04,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1054,1752.51,1850
2025-12,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1031,12233.35,14200
2026-03,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1025,6145.68,6200
2025-12,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1040,111245.6,118000
2026-03,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1043,116169.32,118000
2025-11,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1013,1078.59,1250
2026-03,Electrical,I-5003,Distribution Board 8-Way,V-1009,1265.27,1250
2025-11,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1057,7680.53,8500
2025-11,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1012,957.99,1150
2026-01,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1054,86.64,95
2026-01,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1033,4596.23,4800
2026-05,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1027,846.5,850
2026-04,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1027,8797.41,9800
2026-01,Electrical,I-5006,Cable Tray 300mm (2m length),V-1000,892.94,980
2025-09,Solar Panels,I-5034,String Inverter 50kW,V-1039,332137.05,385000
2025-10,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1033,5588.96,6500
2025-12,Carpentry,I-5018,Wood Screws 2 inch (box of 100),V-1011,155.46,180
2025-11,Electrical,I-5010,MCCB 200A,V-1009,7026.64,8200
2026-07,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1025,6281.29,6200
2026-05,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1025,52049.3,58500
2026-03,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1058,376.82,380
2025-11,Electrical,I-5007,Junction Box IP65,V-1001,190.44,210
2026-03,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1052,2188.43,2450
2026-08,Batteries,I-5048,Battery Monitoring System (BMS module),V-1041,4026.31,4200
2026-03,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1026,5559.99,6200
2025-12,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1020,9251.19,9800
2026-02,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1050,1084.74,1150
2026-05,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,V-1023,59659.09,64500
2026-04,Electrical,I-5002,MCB 32A Single Pole,V-1000,140.56,145
2025-11,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1006,374.43,420
2026-07,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1031,818.22,850
2026-07,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1018,4132.28,4200
2026-04,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1008,91.63,95
2026-02,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1005,88.4,95
2026-06,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1058,65.63,65
2026-01,Electrical,I-5011,Cable Gland Brass 25mm,V-1008,52.16,55
2026-06,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1002,1837.24,1650
2026-05,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1059,65.07,65
2026-05,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1032,6104.3,6500
2026-04,Solar Panels,I-5034,String Inverter 50kW,V-1033,375131.37,385000
2026-05,Solar Panels,I-5034,String Inverter 50kW,V-1030,359941.79,385000
2025-10,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1056,77.56,95
2025-11,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1019,593.96,650
2025-12,Electrical,I-5007,Junction Box IP65,V-1004,176.42,210
2026-04,Electrical,I-5011,Cable Gland Brass 25mm,V-1000,53.27,55
2026-04,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1056,358.86,380
2026-07,Batteries,I-5048,Battery Monitoring System (BMS module),V-1046,3905.63,4200
2025-12,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1032,5950.89,6500
2025-09,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1036,11947.28,14200
2025-09,Road Construction Materials,I-5027,Ready Mix Concrete M25,V-1027,5292.09,6200
2026-02,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1045,15560.65,16500
2026-04,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1043,9682.78,9800
2026-04,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1022,60972.09,62000
2026-05,Road Construction Materials,I-5030,Kerb Stone Precast,V-1026,208.01,210
2026-02,Batteries,I-5046,Battery Rack 4-Tier MS,V-1048,3071.45,3400
2026-06,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1058,318.68,320
2026-03,Electrical,I-5011,Cable Gland Brass 25mm,V-1007,51.88,55
2025-10,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1027,50204.8,58500
2025-10,Carpentry,I-5018,Wood Screws 2 inch (box of 100),V-1016,158.13,180
2025-10,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1037,10900.84,12800
2026-03,Electrical,I-5006,Cable Tray 300mm (2m length),V-1001,948.19,980
2026-03,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1059,6760.26,6800
2026-01,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1020,59451.64,62000
2026-02,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1016,1165.57,1250
2026-04,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1023,4665.2,4800
2026-06,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1012,1606.93,1650
2025-11,Electrical,I-5005,Modular Switch 6A,V-1002,54.18,65
2025-09,Electrical,I-5010,MCCB 200A,V-1007,7093.71,8200
2026-05,Solar Panels,I-5033,Solar Module 550Wp Bifacial,V-1035,13353.68,14200
2025-09,Electrical,I-5009,Contactor 40A 3 Pole,V-1001,1155.92,1450
2026-03,Solar Panels,I-5037,MC4 Connector Pair,V-1038,88.81,95
2026-02,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1026,832.31,850
2026-07,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1051,68.57,65
2026-06,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1052,407.06,380
2025-10,Electrical,I-5010,MCCB 200A,V-1001,6645.31,8200
2025-10,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1033,783.11,850
2025-11,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1030,795.53,850
2026-04,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),V-1011,3285.12,3450
2026-04,Electrical,I-5005,Modular Switch 6A,V-1009,65.21,65
2026-03,Electrical,I-5010,MCCB 200A,V-1009,8212.76,8200
2025-09,Plumbing Materials,I-5059,Pipe Clamp GI 4 inch,V-1051,52.25,65
2026-04,Electrical,I-5002,MCB 32A Single Pole,V-1004,145.44,145
2026-07,Electrical,I-5011,Cable Gland Brass 25mm,V-1006,62.1,55
2026-04,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1058,1860.58,1850
2026-06,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1020,805.63,850
2026-07,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1042,121913.93,118000
2025-11,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1033,11785.15,12800
2026-03,Plumbing Materials,I-5053,Ball Valve 1 inch Brass,V-1051,320.79,320
2026-05,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1051,2352.24,2450
2026-01,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1017,1554.57,1650
2026-02,Electrical,I-5009,Contactor 40A 3 Pole,V-1004,1370.52,1450
2026-07,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1050,6981.6,6800
2025-09,Electrical,I-5011,Cable Gland Brass 25mm,V-1008,48.0,55
2026-02,Road Construction Materials,I-5028,PQC Dowel Bar 32mm,V-1024,56149.03,64500
2026-01,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1050,1749.14,1850
2026-07,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1041,22246.47,21500
2026-01,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1032,5725.72,6500
2026-01,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1023,58350.1,62000
2026-05,Electrical,I-5003,Distribution Board 8-Way,V-1008,1349.29,1250
2025-12,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1059,7792.37,9200
2025-11,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1028,8869.51,9800
2026-05,Electrical,I-5004,LED Flood Light 100W,V-1001,1966.16,1850
2026-01,Road Construction Materials,I-5025,River Sand (fine aggregate),V-1029,1295.89,1450
2026-06,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1039,888.52,850
2026-08,Batteries,I-5046,Battery Rack 4-Tier MS,V-1045,3295.85,3400
2026-04,Electrical,I-5009,Contactor 40A 3 Pole,V-1004,1495.67,1450
2026-02,Carpentry,I-5017,Door Lock Mortise Set,V-1015,905.15,950
2025-10,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1027,8330.67,9800
2026-05,Carpentry,I-5012,Plywood 19mm BWP (8x4 ft),V-1011,3415.27,3450
2026-06,Carpentry,I-5018,Wood Screws 2 inch (box of 100),V-1012,183.58,180
2026-07,Electrical,I-5002,MCB 32A Single Pole,V-1009,162.7,145
2026-08,Electrical,I-5004,LED Flood Light 100W,V-1005,2095.91,1850
2026-07,Electrical,I-5010,MCCB 200A,V-1009,9432.36,8200
2025-11,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1029,336.77,385
2026-02,Carpentry,I-5019,Veneer Sheet Teak (8x4 ft),V-1016,3834.75,4200
2026-03,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1015,644.63,650
2026-08,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1039,3130.12,3100
2025-10,Batteries,I-5048,Battery Monitoring System (BMS module),V-1045,3567.32,4200
2025-12,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1020,8431.58,9800
2025-12,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1048,20124.11,21500
2026-06,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1015,1161.28,1150
2026-07,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1039,3321.1,3100
2026-08,Batteries,I-5047,Battery Interconnect Cable Set,V-1040,684.26,650
2026-04,Solar Panels,I-5037,MC4 Connector Pair,V-1030,86.18,95
2026-04,Electrical,I-5011,Cable Gland Brass 25mm,V-1005,59.38,55
2026-01,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1035,11139.17,12800
2026-08,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1025,62679.02,62000
2026-02,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1032,11574.28,12800
2025-09,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1041,102563.47,118000
2025-09,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1040,9103.52,9800
2025-10,Carpentry,I-5016,Drawer Channel 18 inch Telescopic,V-1014,340.52,420
2025-09,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1020,49975.68,58500
2026-05,Solar Panels,I-5034,String Inverter 50kW,V-1034,356579.79,385000
2025-12,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1036,4132.09,4800
2026-03,Solar Panels,I-5034,String Inverter 50kW,V-1033,348401.73,385000
2026-06,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1038,6481.97,6500
2026-01,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1041,110665.71,118000
2026-07,Solar Panels,I-5034,String Inverter 50kW,V-1038,386250.74,385000
2026-06,Electrical,I-5011,Cable Gland Brass 25mm,V-1009,59.71,55
2026-07,Solar Panels,I-5034,String Inverter 50kW,V-1037,400642.94,385000
2026-06,Solar Panels,I-5040,Anti-Reflective Glass Panel (spare),V-1032,3025.26,3100
2026-01,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1040,8517.36,9800
2026-02,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1031,800.79,850
2026-04,Solar Panels,I-5036,DC Cable 4 sqmm Solar Grade (100m),V-1030,3190.09,3200
2026-01,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1040,20687.49,21500
2026-05,Carpentry,I-5017,Door Lock Mortise Set,V-1017,1003.35,950
2026-02,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1025,55549.29,58500
2025-10,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1037,5686.89,6500
2026-06,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1012,1717.84,1650
2026-05,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1003,431.16,420
2025-09,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1044,8639.82,9800
2026-07,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1047,9407.49,9800
2026-05,Carpentry,I-5020,PVC Edge Banding Tape (100m roll),V-1011,676.34,650
2025-10,Electrical,I-5010,MCCB 200A,V-1001,7069.88,8200
2025-09,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1043,14275.53,16500
2025-10,Plumbing Materials,I-5051,CPVC Pipe 1 inch (3m length),V-1051,298.89,380
2026-03,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1054,8479.62,8500
2026-01,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1022,4723.71,4800
2026-06,Carpentry,I-5013,Laminate Sheet 1mm (8x4 ft),V-1015,1220.69,1250
2026-06,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1054,9690.54,9200
2025-12,Plumbing Materials,I-5057,Bathroom Faucet Single Lever,V-1059,1705.84,1850
2025-11,Road Construction Materials,I-5030,Kerb Stone Precast,V-1024,189.33,210
2026-01,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1035,737.7,850
2025-12,Road Construction Materials,I-5030,Kerb Stone Precast,V-1028,202.72,210
2026-07,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1041,21957.95,21500
2025-10,Solar Panels,I-5037,MC4 Connector Pair,V-1035,87.16,95
2026-05,Carpentry,I-5015,Hinges SS 4 inch,V-1018,83.1,85
2026-07,Carpentry,I-5021,Adhesive Fevicol SH (5kg),V-1011,1183.38,1150
2026-01,Carpentry,I-5015,Hinges SS 4 inch,V-1017,75.87,85
2026-02,Solar Panels,I-5038,Combiner Box 6 in 1 out,V-1038,6299.05,6500
2026-06,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1021,54892.52,58500
2026-04,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1033,12262.86,12800
2026-07,Batteries,I-5048,Battery Monitoring System (BMS module),V-1048,4412.8,4200
2026-02,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1042,14855.01,16500
2026-02,Electrical,I-5002,MCB 32A Single Pole,V-1006,146.44,145
2026-03,Road Construction Materials,I-5023,TMT Steel Bar Fe500D 12mm,V-1023,55505.72,62000
2025-10,Carpentry,I-5018,Wood Screws 2 inch (box of 100),V-1017,151.82,180
2026-05,Electrical,I-5010,MCCB 200A,V-1006,8069.68,8200
2026-07,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1027,9343.13,9800
2026-03,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1053,8779.14,9200
2025-09,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1024,8648.47,9800
2025-09,Batteries,I-5049,Deep Cycle Battery 200Ah,V-1041,19586.26,21500
2026-04,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1051,6802.82,6800
2025-12,Road Construction Materials,I-5029,Wire Mesh Fabric 6mm@150c/c,V-1020,53406.95,58500
2026-07,Solar Panels,I-5039,Earthing Kit for Module Structure,V-1030,915.18,850
2026-06,Electrical,I-5011,Cable Gland Brass 25mm,V-1002,58.71,55
2026-06,Plumbing Materials,I-5056,Concealed Cistern with Frame,V-1051,8337.06,8500
2026-02,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1055,6467.21,6800
2026-06,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1026,364.39,385
2026-02,Road Construction Materials,I-5022,OPC 53 Grade Cement (50kg bag),V-1025,337.34,385
2025-11,Plumbing Materials,I-5055,Sanitaryware Wash Basin,V-1059,2064.49,2450
2025-09,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1051,970.51,1150
2025-09,Electrical,I-5006,Cable Tray 300mm (2m length),V-1001,802.39,980
2026-07,Carpentry,I-5017,Door Lock Mortise Set,V-1015,1030.32,950
2026-06,Electrical,I-5005,Modular Switch 6A,V-1004,70.34,65
2026-07,Electrical,I-5003,Distribution Board 8-Way,V-1008,1381.07,1250
2026-02,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1001,1636.96,1650
2025-10,Plumbing Materials,I-5058,Submersible Pump 1HP,V-1052,7904.84,9200
2025-11,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1047,111495.38,118000
2025-12,Electrical,I-5009,Contactor 40A 3 Pole,V-1001,1372.95,1450
2026-05,Electrical,I-5008,Earthing Strip GI 25x3mm,V-1004,95.52,95
2026-04,Electrical,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),V-1002,1713.13,1650
2026-02,Carpentry,I-5014,MDF Board 12mm (8x4 ft),V-1012,1578.7,1650
2025-12,Batteries,I-5046,Battery Rack 4-Tier MS,V-1045,2976.92,3400
2026-04,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1024,827.64,850
2025-11,Electrical,I-5003,Distribution Board 8-Way,V-1006,1137.79,1250
2025-11,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1029,741.9,850
2025-11,Plumbing Materials,I-5052,PVC Elbow 4 inch,V-1050,84.21,95
2026-06,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1044,114215.86,118000
2026-01,Road Construction Materials,I-5024,Crushed Stone Aggregate 20mm,V-1023,799.32,850
2025-11,Electrical,I-5007,Junction Box IP65,V-1000,176.54,210
2025-11,Batteries,I-5043,Lithium-ion Battery Pack 48V 100Ah,V-1045,111316.45,118000
2025-10,Batteries,I-5048,Battery Monitoring System (BMS module),V-1044,4026.2,4200
2025-11,Electrical,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,V-1003,345.57,420
2026-03,Batteries,I-5044,Inverter 2.5kVA Pure Sinewave,V-1045,15443.92,16500
2026-05,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1021,4318.62,4800
2025-11,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1027,9132.68,9800
2025-10,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1027,4202.77,4800
2026-07,Batteries,I-5048,Battery Monitoring System (BMS module),V-1043,3877.76,4200
2026-06,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1025,9981.74,9800
2026-04,Electrical,I-5005,Modular Switch 6A,V-1001,70.11,65
2025-11,Batteries,I-5045,VRLA SMF Battery 12V 100Ah,V-1049,8754.75,9800
2026-07,Electrical,I-5002,MCB 32A Single Pole,V-1009,152.3,145
2025-10,Plumbing Materials,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),V-1051,963.88,1150
2026-03,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1039,4354.69,4800
2026-08,Solar Panels,I-5035,Module Mounting Structure (per kW),V-1031,4919.56,4800
2026-01,Plumbing Materials,I-5054,Water Tank 1000L HDPE,V-1051,6484.07,6800
2026-06,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1021,4324.61,4800
2026-03,Solar Panels,I-5032,Solar Module 540Wp Mono PERC,V-1036,11466.12,12800
2026-03,Road Construction Materials,I-5026,Bitumen VG-30 (drum 180kg),V-1024,8959.78,9800
2026-06,Road Construction Materials,I-5031,Geotextile Fabric (roll 100m2),V-1021,4362.5,4800
