PRNo,PRDate,DeptCode,DeptName,ProjectCode,ProjectName,ItemCode,ItemDescription,Vertical,RequestedQty,UOM,RequiredByDate,RequestedBy,Priority,Status
PR-30238,2025-12-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,33,Pcs,2026-01-11,Ria Bir,Low,Converted to PO
PR-30239,2026-07-05,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5049,Deep Cycle Battery 200Ah,Batteries,8,Nos,2026-07-25,Ekantika Mutti,High,Converted to PO
PR-30240,2026-01-25,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5058,Submersible Pump 1HP,Plumbing Materials,9,Nos,2026-02-07,Baljiwan Bhandari,Medium,Converted to PO
PR-30241,2025-09-08,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,20,Nos,2025-10-08,Aahana Hora,Medium,Converted to PO
PR-30242,2026-04-21,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5035,Module Mounting Structure (per kW),Solar Panels,31,kW Set,2026-05-10,Ekantika Mutti,High,Converted to PO
PR-30243,2026-05-06,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,25,Nos,2026-05-20,Benjamin Sengupta,Medium,Converted to PO
PR-30244,2026-01-13,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,14,Nos,2026-01-27,Riya Mitter,Medium,Converted to PO
PR-30245,2025-12-30,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5025,River Sand (fine aggregate),Road Construction Materials,40,Ton,2026-01-29,Ekantika Mutti,High,Converted to PO
PR-30246,2026-03-10,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,33,Nos,2026-04-05,Baljiwan Bhandari,Low,Converted to PO
PR-30247,2026-04-23,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,30,Ton,2026-05-03,Daksh Pandey,Medium,Converted to PO
PR-30248,2026-05-14,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,12,Ton,2026-06-03,Yashica Rajagopalan,Medium,Converted to PO
PR-30249,2026-05-01,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5014,MDF Board 12mm (8x4 ft),Carpentry,16,Sheet,2026-05-08,Daksh Pandey,High,Converted to PO
PR-30250,2026-02-19,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5011,Cable Gland Brass 25mm,Electrical,12,Nos,2026-03-06,Dayita Shenoy,Medium,Converted to PO
PR-30251,2025-10-11,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5039,Earthing Kit for Module Structure,Solar Panels,13,Set,2025-10-30,Daksh Pandey,Medium,Converted to PO
PR-30252,2026-04-16,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,31,Coil,2026-05-04,Dayita Shenoy,Low,Converted to PO
PR-30253,2025-10-24,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,40,Nos,2025-11-08,Aahana Hora,Medium,Converted to PO
PR-30254,2026-01-18,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5058,Submersible Pump 1HP,Plumbing Materials,43,Nos,2026-02-11,Yashica Rajagopalan,Medium,Converted to PO
PR-30255,2026-02-03,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,16,Ton,2026-02-10,Ekanta Soni,Medium,Converted to PO
PR-30256,2026-03-30,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5035,Module Mounting Structure (per kW),Solar Panels,27,kW Set,2026-04-23,Wakeeta Shetty,High,Converted to PO
PR-30257,2026-03-31,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5046,Battery Rack 4-Tier MS,Batteries,40,Nos,2026-04-13,Michael Borra,High,Converted to PO
PR-30258,2026-01-23,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,28,Sheet,2026-02-07,Daksh Pandey,Medium,Converted to PO
PR-30259,2025-10-07,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5006,Cable Tray 300mm (2m length),Electrical,41,Nos,2025-10-31,Wakeeta Shetty,Low,Converted to PO
PR-30260,2026-02-13,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,27,Drum,2026-02-25,Warinder Chauhan,Medium,Converted to PO
PR-30261,2026-03-22,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,8,Nos,2026-04-05,Warinder Chauhan,Medium,Converted to PO
PR-30262,2025-10-25,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,24,Nos,2025-11-05,Ria Bir,Low,Converted to PO
PR-30263,2026-06-18,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5035,Module Mounting Structure (per kW),Solar Panels,20,kW Set,2026-06-30,Ria Bir,Medium,Converted to PO
PR-30264,2025-09-10,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,27,Ton,2025-10-06,Benjamin Sengupta,Medium,Converted to PO
PR-30265,2025-09-23,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5033,Solar Module 550Wp Bifacial,Solar Panels,23,Nos,2025-10-04,Warinder Chauhan,High,Converted to PO
PR-30266,2026-08-02,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,23,Nos,2026-08-24,Ekanta Soni,High,Rejected
PR-30267,2026-04-01,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5008,Earthing Strip GI 25x3mm,Electrical,14,Mtr,2026-04-19,Warinder Chauhan,Low,Converted to PO
PR-30268,2026-06-13,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5034,String Inverter 50kW,Solar Panels,4,Nos,2026-07-13,Yashica Rajagopalan,High,Converted to PO
PR-30269,2026-02-14,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5058,Submersible Pump 1HP,Plumbing Materials,7,Nos,2026-03-04,Bhavini Bose,Medium,Converted to PO
PR-30270,2025-09-09,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,37,Nos,2025-10-02,Ekantika Mutti,High,Converted to PO
PR-30271,2025-10-18,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,8,Pair,2025-11-12,Wakeeta Shetty,Medium,Converted to PO
PR-30272,2026-02-26,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5055,Sanitaryware Wash Basin,Plumbing Materials,9,Nos,2026-03-18,Ekanta Soni,High,Converted to PO
PR-30273,2026-04-17,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5038,Combiner Box 6 in 1 out,Solar Panels,13,Nos,2026-05-13,Aahana Hora,High,Converted to PO
PR-30274,2026-05-05,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5002,MCB 32A Single Pole,Electrical,8,Nos,2026-05-29,Riya Mitter,Medium,Converted to PO
PR-30275,2026-07-02,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5017,Door Lock Mortise Set,Carpentry,20,Set,2026-07-29,Ekantika Mutti,High,Converted to PO
PR-30276,2026-01-26,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5052,PVC Elbow 4 inch,Plumbing Materials,29,Nos,2026-02-02,Benjamin Sengupta,High,Converted to PO
PR-30277,2026-08-06,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5009,Contactor 40A 3 Pole,Electrical,25,Nos,2026-08-29,Michael Borra,High,Converted to PO
PR-30278,2026-03-17,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5010,MCCB 200A,Electrical,20,Nos,2026-03-31,Dayita Shenoy,Low,Cancelled
PR-30279,2026-07-03,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,46,Nos,2026-07-27,Wakeeta Shetty,Medium,Converted to PO
PR-30280,2026-06-12,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,23,Pcs,2026-06-27,Ria Bir,Low,Converted to PO
PR-30281,2025-12-13,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5008,Earthing Strip GI 25x3mm,Electrical,37,Mtr,2025-12-24,Yashica Rajagopalan,Low,Converted to PO
PR-30282,2026-03-30,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5056,Concealed Cistern with Frame,Plumbing Materials,6,Set,2026-04-15,Ekanta Soni,Low,Converted to PO
PR-30283,2025-11-08,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,28,Ton,2025-12-01,Daksh Pandey,Medium,Converted to PO
PR-30284,2025-10-04,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,21,Nos,2025-10-16,Daksh Pandey,Low,Rejected
PR-30285,2026-01-05,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5039,Earthing Kit for Module Structure,Solar Panels,9,Set,2026-01-25,Warinder Chauhan,Medium,Converted to PO
PR-30286,2026-05-24,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,24,Nos,2026-06-17,Yashica Rajagopalan,High,Converted to PO
PR-30287,2025-10-17,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5049,Deep Cycle Battery 200Ah,Batteries,20,Nos,2025-11-16,Michael Borra,Medium,Converted to PO
PR-30288,2025-11-03,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5034,String Inverter 50kW,Solar Panels,54,Nos,2025-11-12,Daksh Pandey,Medium,Converted to PO
PR-30289,2025-09-27,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5052,PVC Elbow 4 inch,Plumbing Materials,16,Nos,2025-10-17,Yashica Rajagopalan,Medium,Converted to PO
PR-30290,2026-04-23,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5042,Tubular Battery 150Ah C10,Batteries,45,Nos,2026-05-15,Dayita Shenoy,Low,Converted to PO
PR-30291,2025-09-26,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5035,Module Mounting Structure (per kW),Solar Panels,26,kW Set,2025-10-08,Bhavini Bose,Medium,Converted to PO
PR-30292,2026-06-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5041,Solar Cable Gland Set,Solar Panels,38,Set,2026-06-27,Yashica Rajagopalan,Medium,Rejected
PR-30293,2026-02-13,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5004,LED Flood Light 100W,Electrical,15,Nos,2026-03-03,Ekanta Soni,High,Pending Approval
PR-30294,2026-01-28,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,43,Nos,2026-02-19,Yashica Rajagopalan,Low,Converted to PO
PR-30295,2026-04-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5046,Battery Rack 4-Tier MS,Batteries,27,Nos,2026-05-03,Ekantika Mutti,Medium,Converted to PO
PR-30296,2025-10-31,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5010,MCCB 200A,Electrical,15,Nos,2025-11-30,Benjamin Sengupta,Medium,Converted to PO
PR-30297,2025-10-29,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,30,Bag,2025-11-26,Riya Mitter,Medium,Converted to PO
PR-30298,2026-06-02,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,22,Nos,2026-06-09,Bhavini Bose,Medium,Converted to PO
PR-30299,2025-09-17,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5037,MC4 Connector Pair,Solar Panels,38,Pair,2025-10-02,Daksh Pandey,Low,Converted to PO
PR-30300,2025-12-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5052,PVC Elbow 4 inch,Plumbing Materials,49,Nos,2025-12-24,Yashica Rajagopalan,Low,Rejected
PR-30301,2025-10-21,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,6,Nos,2025-11-13,Michael Borra,High,Converted to PO
PR-30302,2026-06-23,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5042,Tubular Battery 150Ah C10,Batteries,20,Nos,2026-07-09,Wakeeta Shetty,Medium,Converted to PO
PR-30303,2026-06-05,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5035,Module Mounting Structure (per kW),Solar Panels,14,kW Set,2026-06-23,Ekantika Mutti,High,Converted to PO
PR-30304,2026-04-07,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,14,Ton,2026-04-26,Baljiwan Bhandari,Low,Converted to PO
PR-30305,2025-10-20,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5049,Deep Cycle Battery 200Ah,Batteries,17,Nos,2025-11-10,Bhavini Bose,Medium,Converted to PO
PR-30306,2025-11-27,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,33,Ton,2025-12-13,Baljiwan Bhandari,Medium,Converted to PO
PR-30307,2025-12-16,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5027,Ready Mix Concrete M25,Road Construction Materials,25,Cum,2026-01-14,Benjamin Sengupta,Low,Converted to PO
PR-30308,2025-11-30,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5007,Junction Box IP65,Electrical,15,Nos,2025-12-16,Aahana Hora,Medium,Rejected
PR-30309,2026-02-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5048,Battery Monitoring System (BMS module),Batteries,26,Nos,2026-03-09,Warinder Chauhan,High,Converted to PO
PR-30310,2026-02-24,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,37,Ton,2026-03-05,Baljiwan Bhandari,Low,Converted to PO
PR-30311,2026-03-21,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,7,Roll,2026-04-17,Riya Mitter,Medium,Converted to PO
PR-30312,2025-11-13,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5000,Armoured Copper Cable 3.5C x 95 sqmm,Electrical,17,Mtr,2025-12-13,Bhavini Bose,Medium,Pending Approval
PR-30313,2026-04-01,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5010,MCCB 200A,Electrical,61,Nos,2026-04-22,Yashica Rajagopalan,Medium,Pending Approval
PR-30314,2026-05-19,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5039,Earthing Kit for Module Structure,Solar Panels,37,Set,2026-06-08,Daksh Pandey,Medium,Converted to PO
PR-30315,2026-05-05,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,14,Roll,2026-06-03,Yashica Rajagopalan,Medium,Converted to PO
PR-30316,2026-06-21,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,32,Ton,2026-07-21,Ria Bir,Low,Converted to PO
PR-30317,2026-01-25,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5042,Tubular Battery 150Ah C10,Batteries,21,Nos,2026-02-16,Dayita Shenoy,High,Converted to PO
PR-30318,2026-05-07,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5015,Hinges SS 4 inch,Carpentry,37,Pair,2026-05-19,Ekanta Soni,High,Converted to PO
PR-30319,2026-07-26,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5042,Tubular Battery 150Ah C10,Batteries,27,Nos,2026-08-10,Aahana Hora,High,Converted to PO
PR-30320,2025-10-20,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,30,Pcs,2025-11-13,Ekanta Soni,Medium,Converted to PO
PR-30321,2026-05-27,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,19,Coil,2026-06-06,Ria Bir,High,Converted to PO
PR-30322,2026-07-29,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5010,MCCB 200A,Electrical,23,Nos,2026-08-23,Michael Borra,Low,Converted to PO
PR-30323,2026-03-15,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,25,Sheet,2026-04-03,Warinder Chauhan,Medium,Converted to PO
PR-30324,2025-10-23,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5054,Water Tank 1000L HDPE,Plumbing Materials,30,Nos,2025-10-31,Baljiwan Bhandari,Medium,Converted to PO
PR-30325,2025-11-02,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,18,Ton,2025-11-27,Ria Bir,Medium,Converted to PO
PR-30326,2026-03-19,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,18,Coil,2026-03-29,Ria Bir,Medium,Converted to PO
PR-30327,2025-09-19,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,29,Pcs,2025-10-06,Benjamin Sengupta,Medium,Converted to PO
PR-30328,2026-07-30,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5011,Cable Gland Brass 25mm,Electrical,19,Nos,2026-08-10,Bhavini Bose,High,Converted to PO
PR-30329,2025-11-01,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5037,MC4 Connector Pair,Solar Panels,6,Pair,2025-11-29,Michael Borra,Medium,Converted to PO
PR-30330,2026-07-21,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,14,Coil,2026-08-16,Michael Borra,High,Converted to PO
PR-30331,2026-01-01,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5038,Combiner Box 6 in 1 out,Solar Panels,13,Nos,2026-01-13,Warinder Chauhan,Medium,Converted to PO
PR-30332,2026-05-18,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5030,Kerb Stone Precast,Road Construction Materials,66,Nos,2026-06-01,Bhavini Bose,Medium,Converted to PO
PR-30333,2025-09-23,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5039,Earthing Kit for Module Structure,Solar Panels,15,Set,2025-10-03,Dayita Shenoy,High,Converted to PO
PR-30334,2025-12-31,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,6,Ton,2026-01-30,Wakeeta Shetty,Medium,Converted to PO
PR-30335,2025-12-13,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,31,Drum,2025-12-30,Yashica Rajagopalan,Medium,Converted to PO
PR-30336,2025-10-15,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,25,Nos,2025-11-04,Daksh Pandey,Low,Converted to PO
PR-30337,2026-04-29,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,20,Pcs,2026-05-29,Warinder Chauhan,Medium,Converted to PO
PR-30338,2026-07-29,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5025,River Sand (fine aggregate),Road Construction Materials,10,Ton,2026-08-07,Bhavini Bose,Medium,Converted to PO
PR-30339,2025-12-04,DEP-02,Civil & Infrastructure,PRJ-102,Road & Site Development - Aurangabad,I-5056,Concealed Cistern with Frame,Plumbing Materials,9,Set,2025-12-22,Yashica Rajagopalan,Medium,Converted to PO
PR-30340,2026-05-22,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5042,Tubular Battery 150Ah C10,Batteries,10,Nos,2026-06-19,Warinder Chauhan,High,Converted to PO
PR-30341,2025-12-17,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5041,Solar Cable Gland Set,Solar Panels,19,Set,2026-01-16,Ria Bir,Medium,Converted to PO
PR-30342,2026-07-15,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,14,Nos,2026-08-02,Yashica Rajagopalan,Low,Converted to PO
PR-30343,2026-05-25,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5003,Distribution Board 8-Way,Electrical,20,Nos,2026-06-21,Riya Mitter,Low,Converted to PO
PR-30344,2026-05-07,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5037,MC4 Connector Pair,Solar Panels,22,Pair,2026-06-01,Dayita Shenoy,Low,Converted to PO
PR-30345,2026-07-14,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,27,Ton,2026-07-26,Ekantika Mutti,High,Converted to PO
PR-30346,2025-11-15,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5027,Ready Mix Concrete M25,Road Construction Materials,8,Cum,2025-12-03,Michael Borra,Medium,Converted to PO
PR-30347,2025-11-15,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,14,Nos,2025-12-10,Daksh Pandey,Medium,Converted to PO
PR-30348,2025-12-23,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,12,Roll,2026-01-07,Aahana Hora,Medium,Converted to PO
PR-30349,2026-03-17,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5047,Battery Interconnect Cable Set,Batteries,13,Set,2026-04-04,Ria Bir,Medium,Converted to PO
PR-30350,2025-11-11,DEP-04,MEP (Mechanical Electrical Plumbing),PRJ-104,Commercial Complex Fit-out - Pune,I-5048,Battery Monitoring System (BMS module),Batteries,19,Nos,2025-12-06,Michael Borra,High,Converted to PO
PR-30351,2026-05-11,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5046,Battery Rack 4-Tier MS,Batteries,46,Nos,2026-06-04,Wakeeta Shetty,High,Converted to PO
PR-30352,2026-07-04,DEP-03,Solar EPC,PRJ-103,Ground Mount Solar Plant - Ahmednagar,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,50,Ton,2026-08-03,Daksh Pandey,Medium,Converted to PO
PR-30353,2025-09-28,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5002,MCB 32A Single Pole,Electrical,25,Nos,2025-10-13,Bhavini Bose,Low,Converted to PO
PR-30354,2026-03-05,DEP-06,Carpentry & Interiors,PRJ-106,Corporate Office Interiors - Mumbai,I-5046,Battery Rack 4-Tier MS,Batteries,18,Nos,2026-03-15,Ria Bir,Low,Converted to PO
PR-30355,2026-04-02,DEP-05,Maintenance & Facilities,PRJ-105,O&M Contracts - Multiple Sites,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,14,Nos,2026-04-23,Aahana Hora,Low,Pending Approval
PR-30356,2026-03-05,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,18,Drum,2026-03-16,Baljiwan Bhandari,Medium,Converted to PO
PR-30357,2026-04-09,DEP-01,Electrical Execution,PRJ-101,Solar Rooftop Phase 2 - Nashik,I-5007,Junction Box IP65,Electrical,37,Nos,2026-04-17,Warinder Chauhan,Medium,Converted to PO
