GRNNo,GRNDate,PONo,VendorCode,WarehouseCode,ItemCode,ItemDescription,Vertical,ReceivedQty,AcceptedQty,RejectedQty,UOM,InspectedBy,QCStatus
GRN-50170,2026-01-31,PO-40166,V-1022,WH-03,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,22,20,2,Ton,Lila Rege,Rejected - Partial
GRN-50171,2026-08-07,PO-40167,V-1032,WH-01,I-5034,String Inverter 50kW,Solar Panels,33,33,0,Nos,Inaya Mukherjee,Accepted
GRN-50172,2026-03-13,PO-40168,V-1043,WH-03,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,25,25,0,Nos,Gauri Bumb,Accepted
GRN-50173,2026-05-17,PO-40169,V-1056,WH-01,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,31,31,0,Pcs,Bhanumati Krishnan,Accepted
GRN-50174,2026-06-26,PO-40170,V-1028,WH-01,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,7,7,0,Bag,Lila Rege,Accepted
GRN-50175,2026-05-18,PO-40171,V-1034,WH-01,I-5037,MC4 Connector Pair,Solar Panels,29,29,0,Pair,Charles Natt,Accepted
GRN-50176,2026-05-14,PO-40172,V-1040,WH-01,I-5049,Deep Cycle Battery 200Ah,Batteries,35,35,0,Nos,Charles Natt,Accepted
GRN-50177,2026-05-20,PO-40173,V-1058,WH-02,I-5054,Water Tank 1000L HDPE,Plumbing Materials,63,63,0,Nos,Inaya Mukherjee,Accepted
GRN-50178,2026-06-01,PO-40174,V-1039,WH-03,I-5034,String Inverter 50kW,Solar Panels,18,18,0,Nos,Lila Rege,Accepted
GRN-50179,2026-01-08,PO-40175,V-1038,WH-02,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,29,29,0,Coil,Forum Chandra,Accepted
GRN-50180,2026-07-11,PO-40176,V-1055,WH-03,I-5055,Sanitaryware Wash Basin,Plumbing Materials,49,49,0,Nos,Forum Chandra,Accepted
GRN-50181,2026-03-28,PO-40177,V-1044,WH-03,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,8,8,0,Nos,Gauri Bumb,Accepted
GRN-50182,2026-07-03,PO-40178,V-1028,WH-01,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,7,7,0,Roll,Charles Natt,Accepted
GRN-50183,2026-03-12,PO-40179,V-1000,WH-02,I-5010,MCCB 200A,Electrical,14,14,0,Nos,Lila Rege,Accepted
GRN-50184,2026-03-29,PO-40179,V-1000,WH-01,I-5010,MCCB 200A,Electrical,15,15,0,Nos,Inaya Mukherjee,Accepted
GRN-50185,2026-06-15,PO-40180,V-1006,WH-03,I-5008,Earthing Strip GI 25x3mm,Electrical,31,31,0,Mtr,Inaya Mukherjee,Accepted
GRN-50186,2025-10-16,PO-40181,V-1006,WH-01,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,22,22,0,Coil,Lila Rege,Accepted
GRN-50187,2026-02-11,PO-40182,V-1023,WH-02,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,23,23,0,Ton,Forum Chandra,Accepted
GRN-50188,2025-11-29,PO-40183,V-1031,WH-03,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,54,54,0,Nos,Gauri Bumb,Accepted
GRN-50189,2026-07-04,PO-40184,V-1011,WH-01,I-5014,MDF Board 12mm (8x4 ft),Carpentry,10,10,0,Sheet,Charles Natt,Accepted
GRN-50190,2026-02-27,PO-40185,V-1009,WH-01,I-5003,Distribution Board 8-Way,Electrical,17,17,0,Nos,Charles Natt,Accepted
GRN-50191,2026-02-27,PO-40186,V-1002,WH-03,I-5011,Cable Gland Brass 25mm,Electrical,37,37,0,Nos,Lila Rege,Accepted
GRN-50192,2026-07-06,PO-40187,V-1008,WH-02,I-5009,Contactor 40A 3 Pole,Electrical,39,38,1,Nos,Forum Chandra,Rejected - Partial
GRN-50193,2026-09-02,PO-40188,V-1028,WH-02,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,20,19,1,Bag,Charles Natt,Rejected - Partial
GRN-50194,2025-10-26,PO-40189,V-1045,WH-01,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,28,26,2,Nos,Inaya Mukherjee,Rejected - Partial
GRN-50195,2026-07-12,PO-40190,V-1041,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,19,19,0,Nos,Forum Chandra,Accepted
GRN-50196,2025-12-03,PO-40191,V-1055,WH-02,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,34,34,0,Nos,Bhanumati Krishnan,Accepted
GRN-50197,2025-09-21,PO-40192,V-1030,WH-02,I-5038,Combiner Box 6 in 1 out,Solar Panels,15,15,0,Nos,Bhanumati Krishnan,Accepted
GRN-50198,2025-10-23,PO-40193,V-1046,WH-02,I-5046,Battery Rack 4-Tier MS,Batteries,41,41,0,Nos,Charles Natt,Accepted
GRN-50199,2025-11-09,PO-40194,V-1022,WH-03,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,45,45,0,Ton,Gauri Bumb,Accepted
GRN-50200,2025-10-23,PO-40195,V-1036,WH-01,I-5037,MC4 Connector Pair,Solar Panels,22,22,0,Pair,Charles Natt,Accepted
GRN-50201,2025-09-27,PO-40196,V-1026,WH-02,I-5025,River Sand (fine aggregate),Road Construction Materials,13,13,0,Ton,Forum Chandra,Accepted
GRN-50202,2026-01-05,PO-40197,V-1037,WH-03,I-5038,Combiner Box 6 in 1 out,Solar Panels,16,16,0,Nos,Inaya Mukherjee,Accepted
GRN-50203,2026-07-23,PO-40199,V-1046,WH-02,I-5049,Deep Cycle Battery 200Ah,Batteries,9,9,0,Nos,Charles Natt,Accepted
GRN-50204,2026-02-19,PO-40200,V-1052,WH-01,I-5058,Submersible Pump 1HP,Plumbing Materials,9,9,0,Nos,Forum Chandra,Accepted
GRN-50205,2026-05-10,PO-40202,V-1031,WH-03,I-5035,Module Mounting Structure (per kW),Solar Panels,30,30,0,kW Set,Gauri Bumb,Accepted
GRN-50206,2026-05-27,PO-40203,V-1050,WH-03,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,26,26,0,Nos,Inaya Mukherjee,Accepted
GRN-50207,2026-01-28,PO-40204,V-1032,WH-03,I-5032,Solar Module 540Wp Mono PERC,Solar Panels,15,15,0,Nos,Inaya Mukherjee,Accepted
GRN-50208,2026-01-08,PO-40205,V-1029,WH-02,I-5025,River Sand (fine aggregate),Road Construction Materials,40,38,2,Ton,Inaya Mukherjee,Rejected - Partial
GRN-50209,2026-04-03,PO-40206,V-1058,WH-02,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,33,33,0,Nos,Bhanumati Krishnan,Accepted
GRN-50210,2026-05-25,PO-40207,V-1023,WH-01,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,31,31,0,Ton,Gauri Bumb,Accepted
GRN-50211,2026-05-27,PO-40208,V-1024,WH-03,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,13,13,0,Ton,Inaya Mukherjee,Accepted
GRN-50212,2026-05-22,PO-40209,V-1015,WH-01,I-5014,MDF Board 12mm (8x4 ft),Carpentry,17,17,0,Sheet,Charles Natt,Accepted
GRN-50213,2026-03-09,PO-40210,V-1006,WH-02,I-5011,Cable Gland Brass 25mm,Electrical,12,12,0,Nos,Gauri Bumb,Accepted
GRN-50214,2025-11-02,PO-40211,V-1035,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,14,14,0,Set,Forum Chandra,Accepted
GRN-50215,2026-04-28,PO-40212,V-1030,WH-01,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,31,31,0,Coil,Lila Rege,Accepted
GRN-50216,2025-11-20,PO-40213,V-1043,WH-01,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,40,40,0,Nos,Lila Rege,Accepted
GRN-50217,2026-02-08,PO-40214,V-1059,WH-01,I-5058,Submersible Pump 1HP,Plumbing Materials,44,44,0,Nos,Gauri Bumb,Accepted
GRN-50218,2026-02-13,PO-40215,V-1027,WH-01,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,15,15,0,Ton,Lila Rege,Accepted
GRN-50219,2026-04-20,PO-40216,V-1036,WH-02,I-5035,Module Mounting Structure (per kW),Solar Panels,27,27,0,kW Set,Gauri Bumb,Accepted
GRN-50220,2026-04-11,PO-40217,V-1049,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,41,41,0,Nos,Lila Rege,Accepted
GRN-50221,2026-02-03,PO-40218,V-1010,WH-01,I-5013,Laminate Sheet 1mm (8x4 ft),Carpentry,29,29,0,Sheet,Forum Chandra,Accepted
GRN-50222,2025-10-19,PO-40219,V-1000,WH-03,I-5006,Cable Tray 300mm (2m length),Electrical,41,41,0,Nos,Charles Natt,Accepted
GRN-50223,2026-03-04,PO-40220,V-1024,WH-01,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,28,28,0,Drum,Lila Rege,Accepted
GRN-50224,2026-04-15,PO-40221,V-1049,WH-01,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,8,8,0,Nos,Gauri Bumb,Accepted
GRN-50225,2025-11-05,PO-40222,V-1037,WH-01,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,24,24,0,Nos,Lila Rege,Accepted
GRN-50226,2026-07-01,PO-40223,V-1039,WH-03,I-5035,Module Mounting Structure (per kW),Solar Panels,19,19,0,kW Set,Gauri Bumb,Accepted
GRN-50227,2025-09-27,PO-40224,V-1028,WH-01,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,28,28,0,Ton,Forum Chandra,Accepted
GRN-50228,2025-10-11,PO-40225,V-1030,WH-02,I-5033,Solar Module 550Wp Bifacial,Solar Panels,22,22,0,Nos,Lila Rege,Accepted
GRN-50229,2026-04-12,PO-40226,V-1001,WH-01,I-5008,Earthing Strip GI 25x3mm,Electrical,14,14,0,Mtr,Bhanumati Krishnan,Accepted
GRN-50230,2026-06-25,PO-40227,V-1037,WH-02,I-5034,String Inverter 50kW,Solar Panels,5,5,0,Nos,Inaya Mukherjee,Accepted
GRN-50231,2026-03-05,PO-40228,V-1053,WH-01,I-5058,Submersible Pump 1HP,Plumbing Materials,6,6,0,Nos,Bhanumati Krishnan,Accepted
GRN-50232,2025-09-24,PO-40229,V-1055,WH-01,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,37,37,0,Nos,Charles Natt,Accepted
GRN-50233,2025-11-15,PO-40230,V-1017,WH-01,I-5016,Drawer Channel 18 inch Telescopic,Carpentry,8,8,0,Pair,Inaya Mukherjee,Accepted
GRN-50234,2026-03-23,PO-40231,V-1059,WH-02,I-5055,Sanitaryware Wash Basin,Plumbing Materials,9,9,0,Nos,Charles Natt,Accepted
GRN-50235,2026-05-03,PO-40232,V-1032,WH-02,I-5038,Combiner Box 6 in 1 out,Solar Panels,13,13,0,Nos,Forum Chandra,Accepted
GRN-50236,2026-05-24,PO-40233,V-1008,WH-03,I-5002,MCB 32A Single Pole,Electrical,8,8,0,Nos,Lila Rege,Accepted
GRN-50237,2026-07-14,PO-40234,V-1017,WH-01,I-5017,Door Lock Mortise Set,Carpentry,19,19,0,Set,Inaya Mukherjee,Accepted
GRN-50238,2026-02-22,PO-40235,V-1055,WH-01,I-5052,PVC Elbow 4 inch,Plumbing Materials,29,29,0,Nos,Bhanumati Krishnan,Accepted
GRN-50239,2026-08-14,PO-40236,V-1009,WH-02,I-5009,Contactor 40A 3 Pole,Electrical,25,25,0,Nos,Inaya Mukherjee,Accepted
GRN-50240,2026-07-16,PO-40237,V-1050,WH-02,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,23,23,0,Nos,Lila Rege,Accepted
GRN-50241,2026-07-25,PO-40237,V-1050,WH-03,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,23,23,0,Nos,Gauri Bumb,Accepted
GRN-50242,2026-06-27,PO-40238,V-1056,WH-03,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,22,22,0,Pcs,Gauri Bumb,Accepted
GRN-50243,2025-12-23,PO-40239,V-1002,WH-02,I-5008,Earthing Strip GI 25x3mm,Electrical,36,36,0,Mtr,Charles Natt,Accepted
GRN-50244,2026-04-16,PO-40240,V-1053,WH-02,I-5056,Concealed Cistern with Frame,Plumbing Materials,6,6,0,Set,Gauri Bumb,Accepted
GRN-50245,2025-11-27,PO-40241,V-1026,WH-01,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,29,29,0,Ton,Lila Rege,Accepted
GRN-50246,2026-01-30,PO-40242,V-1036,WH-02,I-5039,Earthing Kit for Module Structure,Solar Panels,8,8,0,Set,Lila Rege,Accepted
GRN-50247,2026-06-03,PO-40243,V-1050,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,24,24,0,Nos,Charles Natt,Accepted
GRN-50248,2025-11-03,PO-40244,V-1046,WH-03,I-5049,Deep Cycle Battery 200Ah,Batteries,21,21,0,Nos,Charles Natt,Accepted
GRN-50249,2025-11-16,PO-40245,V-1036,WH-01,I-5034,String Inverter 50kW,Solar Panels,53,53,0,Nos,Forum Chandra,Accepted
GRN-50250,2026-05-24,PO-40247,V-1043,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,45,45,0,Nos,Gauri Bumb,Accepted
GRN-50251,2025-10-15,PO-40248,V-1039,WH-01,I-5035,Module Mounting Structure (per kW),Solar Panels,25,25,0,kW Set,Charles Natt,Accepted
GRN-50252,2026-02-11,PO-40249,V-1048,WH-03,I-5043,Lithium-ion Battery Pack 48V 100Ah,Batteries,43,43,0,Nos,Gauri Bumb,Accepted
GRN-50253,2026-05-13,PO-40250,V-1042,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,26,26,0,Nos,Gauri Bumb,Accepted
GRN-50254,2025-11-22,PO-40251,V-1005,WH-02,I-5010,MCCB 200A,Electrical,15,15,0,Nos,Forum Chandra,Accepted
GRN-50255,2025-11-22,PO-40252,V-1022,WH-02,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,15,15,0,Bag,Bhanumati Krishnan,Accepted
GRN-50256,2025-11-29,PO-40252,V-1022,WH-01,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,15,15,0,Bag,Inaya Mukherjee,Accepted
GRN-50257,2026-06-08,PO-40253,V-1032,WH-03,I-5040,Anti-Reflective Glass Panel (spare),Solar Panels,22,22,0,Nos,Gauri Bumb,Accepted
GRN-50258,2025-10-10,PO-40254,V-1034,WH-01,I-5037,MC4 Connector Pair,Solar Panels,38,38,0,Pair,Charles Natt,Accepted
GRN-50259,2025-11-03,PO-40255,V-1048,WH-02,I-5044,Inverter 2.5kVA Pure Sinewave,Batteries,6,6,0,Nos,Lila Rege,Accepted
GRN-50260,2026-07-07,PO-40256,V-1048,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,20,20,0,Nos,Lila Rege,Accepted
GRN-50261,2026-06-26,PO-40257,V-1039,WH-02,I-5035,Module Mounting Structure (per kW),Solar Panels,14,14,0,kW Set,Lila Rege,Accepted
GRN-50262,2026-04-30,PO-40258,V-1027,WH-02,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,13,13,0,Ton,Gauri Bumb,Accepted
GRN-50263,2025-11-07,PO-40259,V-1043,WH-02,I-5049,Deep Cycle Battery 200Ah,Batteries,17,17,0,Nos,Forum Chandra,Accepted
GRN-50264,2025-12-13,PO-40260,V-1021,WH-01,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,33,33,0,Ton,Bhanumati Krishnan,Accepted
GRN-50265,2025-12-26,PO-40261,V-1028,WH-02,I-5027,Ready Mix Concrete M25,Road Construction Materials,25,25,0,Cum,Bhanumati Krishnan,Accepted
GRN-50266,2026-02-25,PO-40262,V-1040,WH-02,I-5048,Battery Monitoring System (BMS module),Batteries,26,26,0,Nos,Charles Natt,Accepted
GRN-50267,2026-03-14,PO-40263,V-1024,WH-03,I-5028,PQC Dowel Bar 32mm,Road Construction Materials,37,37,0,Ton,Forum Chandra,Accepted
GRN-50268,2026-04-01,PO-40264,V-1022,WH-01,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,8,8,0,Roll,Bhanumati Krishnan,Accepted
GRN-50269,2026-06-13,PO-40265,V-1039,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,37,37,0,Set,Gauri Bumb,Accepted
GRN-50270,2026-05-17,PO-40266,V-1021,WH-02,I-5031,Geotextile Fabric (roll 100m2),Road Construction Materials,13,13,0,Roll,Gauri Bumb,Accepted
GRN-50271,2026-07-07,PO-40267,V-1020,WH-02,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,31,31,0,Ton,Gauri Bumb,Accepted
GRN-50272,2026-02-13,PO-40268,V-1049,WH-03,I-5042,Tubular Battery 150Ah C10,Batteries,21,21,0,Nos,Inaya Mukherjee,Accepted
GRN-50273,2026-05-16,PO-40269,V-1019,WH-01,I-5015,Hinges SS 4 inch,Carpentry,37,37,0,Pair,Bhanumati Krishnan,Accepted
GRN-50274,2026-08-24,PO-40270,V-1044,WH-01,I-5042,Tubular Battery 150Ah C10,Batteries,28,28,0,Nos,Bhanumati Krishnan,Accepted
GRN-50275,2025-11-04,PO-40271,V-1055,WH-02,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,15,15,0,Pcs,Charles Natt,Accepted
GRN-50276,2025-11-13,PO-40271,V-1055,WH-03,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,15,15,0,Pcs,Forum Chandra,Accepted
GRN-50277,2026-06-08,PO-40272,V-1000,WH-03,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,19,19,0,Coil,Gauri Bumb,Accepted
GRN-50278,2026-08-11,PO-40273,V-1004,WH-02,I-5010,MCCB 200A,Electrical,24,24,0,Nos,Inaya Mukherjee,Accepted
GRN-50279,2026-04-01,PO-40274,V-1011,WH-01,I-5012,Plywood 19mm BWP (8x4 ft),Carpentry,26,26,0,Sheet,Gauri Bumb,Accepted
GRN-50280,2025-10-28,PO-40275,V-1057,WH-01,I-5054,Water Tank 1000L HDPE,Plumbing Materials,15,15,0,Nos,Bhanumati Krishnan,Accepted
GRN-50281,2025-11-11,PO-40275,V-1057,WH-01,I-5054,Water Tank 1000L HDPE,Plumbing Materials,15,15,0,Nos,Inaya Mukherjee,Accepted
GRN-50282,2025-12-02,PO-40276,V-1021,WH-02,I-5029,Wire Mesh Fabric 6mm@150c/c,Road Construction Materials,18,18,0,Ton,Forum Chandra,Accepted
GRN-50283,2026-04-03,PO-40277,V-1033,WH-01,I-5036,DC Cable 4 sqmm Solar Grade (100m),Solar Panels,18,18,0,Coil,Gauri Bumb,Accepted
GRN-50284,2025-10-13,PO-40278,V-1058,WH-01,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,30,30,0,Pcs,Inaya Mukherjee,Accepted
GRN-50285,2026-08-12,PO-40279,V-1001,WH-02,I-5011,Cable Gland Brass 25mm,Electrical,20,20,0,Nos,Gauri Bumb,Accepted
GRN-50286,2025-11-14,PO-40280,V-1039,WH-01,I-5037,MC4 Connector Pair,Solar Panels,6,6,0,Pair,Inaya Mukherjee,Accepted
GRN-50287,2026-07-27,PO-40281,V-1000,WH-01,I-5001,PVC Insulated Wire 2.5 sqmm (90m coil),Electrical,14,14,0,Coil,Bhanumati Krishnan,Accepted
GRN-50288,2026-01-20,PO-40282,V-1031,WH-01,I-5038,Combiner Box 6 in 1 out,Solar Panels,13,13,0,Nos,Gauri Bumb,Accepted
GRN-50289,2026-06-09,PO-40283,V-1021,WH-01,I-5030,Kerb Stone Precast,Road Construction Materials,66,66,0,Nos,Inaya Mukherjee,Accepted
GRN-50290,2025-10-05,PO-40284,V-1031,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,15,15,0,Set,Inaya Mukherjee,Accepted
GRN-50291,2026-01-16,PO-40285,V-1029,WH-01,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,7,7,0,Ton,Bhanumati Krishnan,Accepted
GRN-50292,2026-01-04,PO-40286,V-1027,WH-01,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,32,32,0,Drum,Charles Natt,Accepted
GRN-50293,2025-10-20,PO-40287,V-1057,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,25,25,0,Nos,Charles Natt,Accepted
GRN-50294,2026-05-19,PO-40288,V-1051,WH-02,I-5050,UPVC Pipe 4 inch SCH-40 (3m length),Plumbing Materials,21,21,0,Pcs,Bhanumati Krishnan,Accepted
GRN-50295,2025-12-19,PO-40290,V-1055,WH-02,I-5056,Concealed Cistern with Frame,Plumbing Materials,8,8,0,Set,Gauri Bumb,Accepted
GRN-50296,2026-06-13,PO-40291,V-1040,WH-02,I-5042,Tubular Battery 150Ah C10,Batteries,10,10,0,Nos,Charles Natt,Accepted
GRN-50297,2025-12-25,PO-40292,V-1036,WH-02,I-5041,Solar Cable Gland Set,Solar Panels,19,19,0,Set,Lila Rege,Accepted
GRN-50298,2026-07-23,PO-40293,V-1057,WH-03,I-5057,Bathroom Faucet Single Lever,Plumbing Materials,14,14,0,Nos,Lila Rege,Accepted
GRN-50299,2026-06-17,PO-40294,V-1007,WH-01,I-5003,Distribution Board 8-Way,Electrical,20,20,0,Nos,Charles Natt,Accepted
GRN-50300,2026-05-26,PO-40295,V-1039,WH-01,I-5037,MC4 Connector Pair,Solar Panels,22,22,0,Pair,Forum Chandra,Accepted
GRN-50301,2026-07-22,PO-40296,V-1022,WH-01,I-5024,Crushed Stone Aggregate 20mm,Road Construction Materials,27,27,0,Ton,Forum Chandra,Accepted
GRN-50302,2025-11-22,PO-40297,V-1026,WH-02,I-5027,Ready Mix Concrete M25,Road Construction Materials,9,9,0,Cum,Gauri Bumb,Accepted
GRN-50303,2025-12-05,PO-40298,V-1050,WH-03,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,14,14,0,Nos,Bhanumati Krishnan,Accepted
GRN-50304,2026-01-21,PO-40299,V-1011,WH-02,I-5020,PVC Edge Banding Tape (100m roll),Carpentry,11,11,0,Roll,Lila Rege,Accepted
GRN-50305,2026-04-07,PO-40300,V-1041,WH-01,I-5047,Battery Interconnect Cable Set,Batteries,13,13,0,Set,Inaya Mukherjee,Accepted
GRN-50306,2025-11-26,PO-40301,V-1048,WH-01,I-5048,Battery Monitoring System (BMS module),Batteries,9,9,0,Nos,Forum Chandra,Accepted
GRN-50307,2025-11-21,PO-40301,V-1048,WH-03,I-5048,Battery Monitoring System (BMS module),Batteries,10,10,0,Nos,Forum Chandra,Accepted
GRN-50308,2026-05-13,PO-40302,V-1044,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,47,47,0,Nos,Inaya Mukherjee,Accepted
GRN-50309,2026-07-26,PO-40303,V-1027,WH-01,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,50,50,0,Ton,Gauri Bumb,Accepted
GRN-50310,2025-10-06,PO-40304,V-1004,WH-02,I-5002,MCB 32A Single Pole,Electrical,24,24,0,Nos,Charles Natt,Accepted
GRN-50311,2026-03-22,PO-40305,V-1044,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,18,18,0,Nos,Charles Natt,Accepted
GRN-50312,2026-03-14,PO-40306,V-1024,WH-01,I-5026,Bitumen VG-30 (drum 180kg),Road Construction Materials,18,18,0,Drum,Charles Natt,Accepted
GRN-50313,2026-04-26,PO-40307,V-1007,WH-02,I-5007,Junction Box IP65,Electrical,37,37,0,Nos,Lila Rege,Accepted
GRN-50314,2025-10-04,PO-40308,V-1012,WH-02,I-5017,Door Lock Mortise Set,Carpentry,25,25,0,Set,Lila Rege,Accepted
GRN-50315,2025-10-04,PO-40309,V-1009,WH-01,I-5008,Earthing Strip GI 25x3mm,Electrical,18,18,0,Mtr,Bhanumati Krishnan,Accepted
GRN-50316,2025-11-09,PO-40310,V-1048,WH-01,I-5047,Battery Interconnect Cable Set,Batteries,22,22,0,Set,Inaya Mukherjee,Accepted
GRN-50317,2026-06-06,PO-40311,V-1022,WH-03,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,23,23,0,Bag,Charles Natt,Accepted
GRN-50318,2025-11-19,PO-40312,V-1049,WH-03,I-5048,Battery Monitoring System (BMS module),Batteries,15,14,1,Nos,Gauri Bumb,Rejected - Partial
GRN-50319,2026-08-03,PO-40313,V-1020,WH-02,I-5025,River Sand (fine aggregate),Road Construction Materials,23,23,0,Ton,Lila Rege,Accepted
GRN-50320,2026-03-23,PO-40315,V-1058,WH-01,I-5051,CPVC Pipe 1 inch (3m length),Plumbing Materials,26,26,0,Pcs,Lila Rege,Accepted
GRN-50321,2026-05-19,PO-40316,V-1036,WH-01,I-5039,Earthing Kit for Module Structure,Solar Panels,12,12,0,Set,Lila Rege,Accepted
GRN-50322,2026-04-06,PO-40317,V-1033,WH-01,I-5037,MC4 Connector Pair,Solar Panels,28,28,0,Pair,Charles Natt,Accepted
GRN-50323,2026-06-08,PO-40318,V-1056,WH-01,I-5059,Pipe Clamp GI 4 inch,Plumbing Materials,33,33,0,Nos,Inaya Mukherjee,Accepted
GRN-50324,2026-02-06,PO-40319,V-1041,WH-03,I-5045,VRLA SMF Battery 12V 100Ah,Batteries,28,28,0,Nos,Bhanumati Krishnan,Accepted
GRN-50325,2026-04-19,PO-40320,V-1047,WH-01,I-5046,Battery Rack 4-Tier MS,Batteries,11,11,0,Nos,Inaya Mukherjee,Accepted
GRN-50326,2025-12-08,PO-40321,V-1011,WH-01,I-5019,Veneer Sheet Teak (8x4 ft),Carpentry,38,38,0,Sheet,Gauri Bumb,Accepted
GRN-50327,2026-05-01,PO-40322,V-1004,WH-01,I-5004,LED Flood Light 100W,Electrical,17,17,0,Nos,Lila Rege,Accepted
GRN-50328,2025-10-24,PO-40323,V-1041,WH-03,I-5042,Tubular Battery 150Ah C10,Batteries,9,9,0,Nos,Gauri Bumb,Accepted
GRN-50329,2026-07-20,PO-40324,V-1053,WH-01,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,29,29,0,Nos,Bhanumati Krishnan,Accepted
GRN-50330,2026-03-05,PO-40325,V-1022,WH-03,I-5023,TMT Steel Bar Fe500D 12mm,Road Construction Materials,4,4,0,Ton,Gauri Bumb,Accepted
GRN-50331,2026-01-18,PO-40326,V-1031,WH-01,I-5035,Module Mounting Structure (per kW),Solar Panels,28,27,1,kW Set,Forum Chandra,Rejected - Partial
GRN-50332,2026-08-16,PO-40327,V-1056,WH-02,I-5055,Sanitaryware Wash Basin,Plumbing Materials,47,47,0,Nos,Forum Chandra,Accepted
GRN-50333,2025-10-14,PO-40328,V-1026,WH-01,I-5022,OPC 53 Grade Cement (50kg bag),Road Construction Materials,16,16,0,Bag,Inaya Mukherjee,Accepted
GRN-50334,2026-02-24,PO-40329,V-1045,WH-03,I-5048,Battery Monitoring System (BMS module),Batteries,16,16,0,Nos,Gauri Bumb,Accepted
GRN-50335,2026-01-23,PO-40330,V-1052,WH-02,I-5053,Ball Valve 1 inch Brass,Plumbing Materials,35,35,0,Nos,Bhanumati Krishnan,Accepted
GRN-50336,2025-11-20,PO-40331,V-1043,WH-03,I-5048,Battery Monitoring System (BMS module),Batteries,19,19,0,Nos,Charles Natt,Accepted
GRN-50337,2025-09-13,PO-40332,V-1036,WH-01,I-5033,Solar Module 550Wp Bifacial,Solar Panels,15,15,0,Nos,Charles Natt,Accepted
GRN-50338,2026-01-23,PO-40333,V-1008,WH-01,I-5002,MCB 32A Single Pole,Electrical,8,8,0,Nos,Forum Chandra,Accepted
