InvoiceNo,InvoiceDate,PONo,GRNNo,VendorCode,VendorName,Vertical,InvoiceAmount,TaxAmount,TotalAmount,PaymentDueDate,PaymentStatus,PaymentDate,DeptCode,ProjectCode
INV-60151,2026-04-10,PO-40160,GRN-50164,V-1024,JK Cement,Road Construction Materials,1129448.8,203300.78,1332749.58,2026-05-10,Paid,2026-05-12,DEP-03,PRJ-103
INV-60152,2025-10-06,PO-40161,GRN-50165,V-1002,Finolex Cables,Electrical,11486.89,2067.64,13554.53,2025-11-05,Pending,,DEP-02,PRJ-102
INV-60153,2025-11-15,PO-40162,GRN-50166,V-1043,Su-Kam Power Systems,Batteries,54364.36,9785.58,64149.94,2025-11-30,Paid,2025-11-30,DEP-06,PRJ-106
INV-60154,2025-11-19,PO-40163,GRN-50167,V-1034,Goldi Solar,Solar Panels,1879.44,338.3,2217.74,2025-12-19,Overdue,,DEP-01,PRJ-101
INV-60155,2025-10-26,PO-40164,GRN-50168,V-1001,Polycab India,Electrical,224748.06,40454.65,265202.71,2025-11-25,Paid,2025-12-03,DEP-02,PRJ-102
INV-60156,2026-04-22,PO-40165,GRN-50169,V-1022,Ambuja Cements,Road Construction Materials,207576.93,37363.85,244940.78,2026-05-07,Paid,2026-05-06,DEP-03,PRJ-103
INV-60157,2026-02-04,PO-40166,GRN-50170,V-1022,Ambuja Cements,Road Construction Materials,1134967.47,204294.14,1339261.61,2026-02-19,Paid,2026-02-15,DEP-04,PRJ-104
INV-60158,2026-08-12,PO-40167,GRN-50171,V-1032,Adani Solar,Solar Panels,13589932.54,2446187.86,16036120.4,2026-10-11,Paid,2026-10-09,DEP-05,PRJ-105
INV-60159,2026-03-18,PO-40168,GRN-50172,V-1043,Su-Kam Power Systems,Batteries,235289.95,42352.19,277642.14,2026-04-02,Overdue,,DEP-05,PRJ-105
INV-60160,2026-05-17,PO-40169,GRN-50173,V-1056,Jaquar Group,Plumbing Materials,11790.26,2122.25,13912.51,2026-06-01,Pending,,DEP-04,PRJ-104
INV-60161,2026-06-29,PO-40170,GRN-50174,V-1028,Birla Corporation,Road Construction Materials,2642.05,475.57,3117.62,2026-08-28,Paid,2026-08-22,DEP-01,PRJ-101
INV-60162,2026-05-23,PO-40171,GRN-50175,V-1034,Goldi Solar,Solar Panels,2622.99,472.14,3095.13,2026-06-22,Paid,2026-06-12,DEP-05,PRJ-105
INV-60163,2026-05-19,PO-40172,GRN-50176,V-1040,Exide Industries,Batteries,671442.8,120859.7,792302.5,2026-07-03,Paid,2026-07-03,DEP-01,PRJ-101
INV-60164,2026-05-25,PO-40173,GRN-50177,V-1058,Kajaria Ceramics,Plumbing Materials,415336.34,74760.54,490096.88,2026-07-24,Paid,2026-07-28,DEP-04,PRJ-104
INV-60165,2026-06-01,PO-40174,GRN-50178,V-1039,Loom Solar,Solar Panels,6893504.91,1240830.88,8134335.79,2026-07-01,Paid,2026-07-04,DEP-06,PRJ-106
INV-60166,2026-01-08,PO-40175,GRN-50179,V-1038,Websol Energy System,Solar Panels,89265.83,16067.85,105333.68,2026-02-22,Overdue,,DEP-01,PRJ-101
INV-60167,2026-07-16,PO-40176,GRN-50180,V-1055,CERA Sanitaryware,Plumbing Materials,128137.8,23064.8,151202.6,2026-08-15,Paid,2026-08-07,DEP-04,PRJ-104
INV-60168,2026-04-02,PO-40177,GRN-50181,V-1044,Okaya Power,Batteries,905964.75,163073.66,1069038.41,2026-04-17,Paid,2026-04-21,DEP-02,PRJ-102
INV-60169,2026-07-08,PO-40178,GRN-50182,V-1028,Birla Corporation,Road Construction Materials,34371.46,6186.86,40558.32,2026-09-06,Paid,2026-09-04,DEP-06,PRJ-106
INV-60170,2026-03-14,PO-40179,GRN-50183,V-1000,Havells India,Electrical,108869.18,19596.45,128465.63,2026-03-29,Paid,2026-04-03,DEP-06,PRJ-106
INV-60171,2026-04-02,PO-40179,GRN-50184,V-1000,Havells India,Electrical,116645.55,20996.2,137641.75,2026-04-17,Paid,2026-04-15,DEP-06,PRJ-106
INV-60172,2026-06-15,PO-40180,GRN-50185,V-1006,Legrand India,Electrical,3317.13,597.08,3914.21,2026-07-30,Paid,2026-07-24,DEP-01,PRJ-101
INV-60173,2025-10-21,PO-40181,GRN-50186,V-1006,Legrand India,Electrical,31728.49,5711.13,37439.62,2025-12-05,Paid,2025-12-14,DEP-03,PRJ-103
INV-60174,2026-02-16,PO-40182,GRN-50187,V-1023,Shree Cement,Road Construction Materials,1250475.91,225085.66,1475561.57,2026-04-02,Paid,2026-04-02,DEP-06,PRJ-106
INV-60175,2025-11-30,PO-40183,GRN-50188,V-1031,Waaree Energies,Solar Panels,151931.04,27347.59,179278.63,2025-12-30,Paid,2026-01-05,DEP-01,PRJ-101
INV-60176,2026-07-05,PO-40184,GRN-50189,V-1011,Greenply Industries,Carpentry,15917.69,2865.18,18782.87,2026-09-03,Paid,2026-09-02,DEP-03,PRJ-103
INV-60177,2026-03-04,PO-40185,GRN-50190,V-1009,Orient Electric,Electrical,20536.64,3696.6,24233.24,2026-03-19,Paid,2026-03-20,DEP-05,PRJ-105
INV-60178,2026-02-27,PO-40186,GRN-50191,V-1002,Finolex Cables,Electrical,1957.92,352.43,2310.35,2026-03-29,Paid,2026-04-04,DEP-03,PRJ-103
INV-60179,2026-07-10,PO-40187,GRN-50192,V-1008,KEI Industries,Electrical,57115.46,10280.78,67396.24,2026-08-09,Paid,2026-08-15,DEP-06,PRJ-106
INV-60180,2026-09-05,PO-40188,GRN-50193,V-1028,Birla Corporation,Road Construction Materials,6829.92,1229.39,8059.31,2026-11-04,Pending,,DEP-04,PRJ-104
INV-60181,2026-07-15,PO-40190,GRN-50195,V-1041,Amara Raja Batteries (Amaron),Batteries,63899.96,11501.99,75401.95,2026-08-14,Pending,,DEP-06,PRJ-106
INV-60182,2025-12-06,PO-40191,GRN-50196,V-1055,CERA Sanitaryware,Plumbing Materials,50990.58,9178.3,60168.88,2026-01-05,Paid,2026-01-05,DEP-05,PRJ-105
INV-60183,2025-09-25,PO-40192,GRN-50197,V-1030,Tata Power Solar,Solar Panels,86854.96,15633.89,102488.85,2025-11-24,Paid,2025-11-21,DEP-02,PRJ-102
INV-60184,2025-10-25,PO-40193,GRN-50198,V-1046,Livguard Energy,Batteries,120956.53,21772.18,142728.71,2025-11-09,Pending,,DEP-06,PRJ-106
INV-60185,2025-11-09,PO-40194,GRN-50199,V-1022,Ambuja Cements,Road Construction Materials,34223.1,6160.16,40383.26,2025-11-24,Paid,2025-12-02,DEP-02,PRJ-102
INV-60186,2025-10-23,PO-40195,GRN-50200,V-1036,Emmvee Solar,Solar Panels,1902.36,342.42,2244.78,2025-12-07,Paid,2025-12-17,DEP-04,PRJ-104
INV-60187,2025-10-01,PO-40196,GRN-50201,V-1026,Tata Steel,Road Construction Materials,16804.61,3024.83,19829.44,2025-11-30,Paid,2025-11-30,DEP-05,PRJ-105
INV-60188,2026-01-06,PO-40197,GRN-50202,V-1037,RenewSys India,Solar Panels,95963.14,17273.37,113236.51,2026-02-20,Paid,2026-02-18,DEP-03,PRJ-103
INV-60189,2026-07-26,PO-40199,GRN-50203,V-1046,Livguard Energy,Batteries,193874.02,34897.32,228771.34,2026-08-10,Paid,2026-08-02,DEP-01,PRJ-101
INV-60190,2026-02-21,PO-40200,GRN-50204,V-1052,Finolex Pipes,Plumbing Materials,71245.7,12824.23,84069.93,2026-04-07,Paid,2026-04-08,DEP-06,PRJ-106
INV-60191,2026-05-14,PO-40202,GRN-50205,V-1031,Waaree Energies,Solar Panels,132277.42,23809.94,156087.36,2026-06-13,Paid,2026-06-18,DEP-02,PRJ-102
INV-60192,2026-05-29,PO-40203,GRN-50206,V-1050,Astral Pipes,Plumbing Materials,1771.98,318.96,2090.94,2026-07-28,Paid,2026-07-28,DEP-04,PRJ-104
INV-60193,2026-01-08,PO-40205,GRN-50208,V-1029,L&T Construction Materials,Road Construction Materials,53090.31,9556.26,62646.57,2026-02-07,Paid,2026-02-03,DEP-02,PRJ-102
INV-60194,2026-04-07,PO-40206,GRN-50209,V-1058,Kajaria Ceramics,Plumbing Materials,55008.98,9901.62,64910.6,2026-06-06,Paid,2026-06-06,DEP-05,PRJ-105
INV-60195,2026-05-27,PO-40207,GRN-50210,V-1023,Shree Cement,Road Construction Materials,23223.36,4180.2,27403.56,2026-07-11,Paid,2026-07-19,DEP-03,PRJ-103
INV-60196,2026-05-28,PO-40208,GRN-50211,V-1024,JK Cement,Road Construction Materials,11055.15,1989.93,13045.08,2026-06-27,Paid,2026-06-27,DEP-05,PRJ-105
INV-60197,2026-05-24,PO-40209,GRN-50212,V-1015,Action Tesa,Carpentry,28227.85,5081.01,33308.86,2026-06-23,Paid,2026-07-02,DEP-04,PRJ-104
INV-60198,2026-03-11,PO-40210,GRN-50213,V-1006,Legrand India,Electrical,616.82,111.03,727.85,2026-04-25,Paid,2026-04-20,DEP-06,PRJ-106
INV-60199,2025-11-04,PO-40211,GRN-50214,V-1035,Premier Energies,Solar Panels,11110.17,1999.83,13110.0,2025-11-19,Paid,2025-11-21,DEP-06,PRJ-106
INV-60200,2026-05-01,PO-40212,GRN-50215,V-1030,Tata Power Solar,Solar Panels,91937.58,16548.76,108486.34,2026-06-30,Paid,2026-07-02,DEP-05,PRJ-105
INV-60201,2025-11-22,PO-40213,GRN-50216,V-1043,Su-Kam Power Systems,Batteries,4148679.27,746762.27,4895441.54,2025-12-07,Paid,2025-12-12,DEP-01,PRJ-101
INV-60202,2026-02-08,PO-40214,GRN-50217,V-1059,Roto Pumps,Plumbing Materials,366661.41,65999.05,432660.46,2026-03-10,Paid,2026-03-16,DEP-04,PRJ-104
INV-60203,2026-02-15,PO-40215,GRN-50218,V-1027,JSW Steel,Road Construction Materials,11587.01,2085.66,13672.67,2026-03-17,Paid,2026-03-22,DEP-03,PRJ-103
INV-60204,2026-04-25,PO-40216,GRN-50219,V-1036,Emmvee Solar,Solar Panels,128466.68,23124.0,151590.68,2026-06-09,Paid,2026-06-18,DEP-01,PRJ-101
INV-60205,2026-02-03,PO-40218,GRN-50221,V-1010,Century Plyboards,Carpentry,31549.1,5678.84,37227.94,2026-03-20,Paid,2026-03-23,DEP-01,PRJ-101
INV-60206,2025-10-19,PO-40219,GRN-50222,V-1000,Havells India,Electrical,35703.68,6426.66,42130.34,2025-11-03,Paid,2025-11-08,DEP-02,PRJ-102
INV-60207,2026-03-07,PO-40220,GRN-50223,V-1024,JK Cement,Road Construction Materials,255624.19,46012.35,301636.54,2026-04-06,Paid,2026-04-09,DEP-02,PRJ-102
INV-60208,2026-04-20,PO-40221,GRN-50224,V-1049,Exicom Power Solutions,Batteries,892469.4,160644.49,1053113.89,2026-05-20,Paid,2026-05-31,DEP-02,PRJ-102
INV-60209,2025-11-08,PO-40222,GRN-50225,V-1037,RenewSys India,Solar Panels,68439.66,12319.14,80758.8,2025-12-23,Paid,2026-01-04,DEP-03,PRJ-103
INV-60210,2026-07-01,PO-40223,GRN-50226,V-1039,Loom Solar,Solar Panels,95949.98,17271.0,113220.98,2026-07-31,Paid,2026-08-04,DEP-05,PRJ-105
INV-60211,2025-10-02,PO-40224,GRN-50227,V-1028,Birla Corporation,Road Construction Materials,21807.77,3925.4,25733.17,2025-12-01,Paid,2025-11-28,DEP-05,PRJ-105
INV-60212,2025-10-15,PO-40225,GRN-50228,V-1030,Tata Power Solar,Solar Panels,261697.2,47105.5,308802.7,2025-12-14,Paid,2025-12-14,DEP-01,PRJ-101
INV-60213,2026-04-16,PO-40226,GRN-50229,V-1001,Polycab India,Electrical,1351.45,243.26,1594.71,2026-05-16,Paid,2026-05-18,DEP-06,PRJ-106
INV-60214,2026-06-29,PO-40227,GRN-50230,V-1037,RenewSys India,Solar Panels,1947503.83,350550.69,2298054.52,2026-08-13,Paid,2026-08-27,DEP-05,PRJ-105
INV-60215,2026-03-08,PO-40228,GRN-50231,V-1053,Prince Pipes,Plumbing Materials,49420.71,8895.73,58316.44,2026-03-23,Paid,2026-03-29,DEP-03,PRJ-103
INV-60216,2025-09-26,PO-40229,GRN-50232,V-1055,CERA Sanitaryware,Plumbing Materials,1856.07,334.09,2190.16,2025-10-26,Pending,,DEP-01,PRJ-101
INV-60217,2025-11-18,PO-40230,GRN-50233,V-1017,Hettich India,Carpentry,2839.56,511.12,3350.68,2026-01-02,Paid,2026-01-03,DEP-02,PRJ-102
INV-60218,2026-03-28,PO-40231,GRN-50234,V-1059,Roto Pumps,Plumbing Materials,20931.42,3767.66,24699.08,2026-04-27,Paid,2026-04-24,DEP-01,PRJ-101
INV-60219,2026-05-07,PO-40232,GRN-50235,V-1032,Adani Solar,Solar Panels,85358.62,15364.55,100723.17,2026-07-06,Paid,2026-07-11,DEP-01,PRJ-101
INV-60220,2026-05-27,PO-40233,GRN-50236,V-1008,KEI Industries,Electrical,1218.58,219.34,1437.92,2026-06-26,Paid,2026-07-02,DEP-06,PRJ-106
INV-60221,2026-07-14,PO-40234,GRN-50237,V-1017,Hettich India,Carpentry,19207.15,3457.29,22664.44,2026-08-28,Paid,2026-09-02,DEP-03,PRJ-103
INV-60222,2026-02-23,PO-40235,GRN-50238,V-1055,CERA Sanitaryware,Plumbing Materials,2452.2,441.4,2893.6,2026-03-25,Paid,2026-03-23,DEP-02,PRJ-102
INV-60223,2026-08-19,PO-40236,GRN-50239,V-1009,Orient Electric,Electrical,42824.86,7708.47,50533.33,2026-09-03,Paid,2026-09-10,DEP-06,PRJ-106
INV-60224,2026-07-18,PO-40237,GRN-50240,V-1050,Astral Pipes,Plumbing Materials,44974.92,8095.49,53070.41,2026-09-16,Paid,2026-09-29,DEP-01,PRJ-101
INV-60225,2026-07-25,PO-40237,GRN-50241,V-1050,Astral Pipes,Plumbing Materials,44974.92,8095.49,53070.41,2026-09-23,Paid,2026-09-18,DEP-01,PRJ-101
INV-60226,2026-07-01,PO-40238,GRN-50242,V-1056,Jaquar Group,Plumbing Materials,24524.93,4414.49,28939.42,2026-07-16,Paid,2026-07-16,DEP-04,PRJ-104
INV-60227,2025-12-24,PO-40239,GRN-50243,V-1002,Finolex Cables,Electrical,3053.96,549.71,3603.67,2026-01-23,Paid,2026-01-12,DEP-06,PRJ-106
INV-60228,2026-04-17,PO-40240,GRN-50244,V-1053,Prince Pipes,Plumbing Materials,47812.96,8606.33,56419.29,2026-05-02,Paid,2026-05-07,DEP-03,PRJ-103
INV-60229,2025-11-30,PO-40241,GRN-50245,V-1026,Tata Steel,Road Construction Materials,1467715.74,264188.83,1731904.57,2026-01-29,Paid,2026-01-31,DEP-01,PRJ-101
INV-60230,2026-02-02,PO-40242,GRN-50246,V-1036,Emmvee Solar,Solar Panels,6510.03,1171.81,7681.84,2026-03-19,Paid,2026-03-22,DEP-04,PRJ-104
INV-60231,2026-06-07,PO-40243,GRN-50247,V-1050,Astral Pipes,Plumbing Materials,7650.38,1377.07,9027.45,2026-08-06,Pending,,DEP-01,PRJ-101
INV-60232,2025-11-03,PO-40244,GRN-50248,V-1046,Livguard Energy,Batteries,410242.21,73843.6,484085.81,2025-11-18,Paid,2025-11-19,DEP-04,PRJ-104
INV-60233,2025-11-21,PO-40245,GRN-50249,V-1036,Emmvee Solar,Solar Panels,18458961.34,3322613.04,21781574.38,2026-01-05,Paid,2026-01-05,DEP-06,PRJ-106
INV-60234,2026-05-28,PO-40247,GRN-50250,V-1043,Su-Kam Power Systems,Batteries,658331.01,118499.58,776830.59,2026-06-12,Paid,2026-06-25,DEP-05,PRJ-105
INV-60235,2025-10-17,PO-40248,GRN-50251,V-1039,Loom Solar,Solar Panels,110163.17,19829.37,129992.54,2025-11-16,Paid,2025-11-22,DEP-06,PRJ-106
INV-60236,2026-05-15,PO-40250,GRN-50253,V-1042,Luminous Power Technologies,Batteries,82981.25,14936.62,97917.87,2026-06-14,Pending,,DEP-04,PRJ-104
INV-60237,2025-11-24,PO-40251,GRN-50254,V-1005,Crompton Greaves Consumer,Electrical,106473.43,19165.22,125638.65,2025-12-24,Paid,2025-12-24,DEP-01,PRJ-101
INV-60238,2025-11-25,PO-40252,GRN-50255,V-1022,Ambuja Cements,Road Construction Materials,5558.28,1000.49,6558.77,2025-12-10,Overdue,,DEP-05,PRJ-105
INV-60239,2025-12-03,PO-40252,GRN-50256,V-1022,Ambuja Cements,Road Construction Materials,5558.28,1000.49,6558.77,2025-12-18,Paid,2025-12-21,DEP-05,PRJ-105
INV-60240,2026-06-09,PO-40253,GRN-50257,V-1032,Adani Solar,Solar Panels,64167.51,11550.15,75717.66,2026-08-08,Paid,2026-08-12,DEP-06,PRJ-106
INV-60241,2025-10-13,PO-40254,GRN-50258,V-1034,Goldi Solar,Solar Panels,3138.06,564.85,3702.91,2025-11-12,Paid,2025-11-12,DEP-03,PRJ-103
INV-60242,2025-11-03,PO-40255,GRN-50259,V-1048,Base Corporation,Batteries,88875.12,15997.52,104872.64,2025-12-03,Paid,2025-12-12,DEP-03,PRJ-103
INV-60243,2026-06-29,PO-40257,GRN-50261,V-1039,Loom Solar,Solar Panels,70106.46,12619.16,82725.62,2026-07-29,Pending,,DEP-05,PRJ-105
INV-60244,2026-05-03,PO-40258,GRN-50262,V-1027,JSW Steel,Road Construction Materials,797420.24,143535.64,940955.88,2026-06-02,Paid,2026-06-06,DEP-01,PRJ-101
INV-60245,2025-11-07,PO-40259,GRN-50263,V-1043,Su-Kam Power Systems,Batteries,328631.07,59153.59,387784.66,2025-11-22,Paid,2025-11-22,DEP-01,PRJ-101
INV-60246,2025-12-14,PO-40260,GRN-50264,V-1021,ACC Limited,Road Construction Materials,1665065.95,299711.87,1964777.82,2026-01-13,Paid,2026-01-10,DEP-01,PRJ-101
INV-60247,2025-12-30,PO-40261,GRN-50265,V-1028,Birla Corporation,Road Construction Materials,147109.44,26479.7,173589.14,2026-02-28,Paid,2026-03-09,DEP-04,PRJ-104
INV-60248,2026-02-27,PO-40262,GRN-50266,V-1040,Exide Industries,Batteries,108078.86,19454.19,127533.05,2026-04-13,Paid,2026-04-09,DEP-06,PRJ-106
INV-60249,2026-03-16,PO-40263,GRN-50267,V-1024,JK Cement,Road Construction Materials,2323594.11,418246.94,2741841.05,2026-04-15,Paid,2026-04-21,DEP-06,PRJ-106
INV-60250,2026-04-06,PO-40264,GRN-50268,V-1022,Ambuja Cements,Road Construction Materials,36208.03,6517.45,42725.48,2026-04-21,Paid,2026-04-21,DEP-02,PRJ-102
INV-60251,2026-06-13,PO-40265,GRN-50269,V-1039,Loom Solar,Solar Panels,29665.85,5339.85,35005.7,2026-07-13,Overdue,,DEP-04,PRJ-104
INV-60252,2026-05-17,PO-40266,GRN-50270,V-1021,ACC Limited,Road Construction Materials,59217.06,10659.07,69876.13,2026-06-16,Pending,,DEP-06,PRJ-106
INV-60253,2026-07-07,PO-40267,GRN-50271,V-1020,UltraTech Cement,Road Construction Materials,1693648.34,304856.7,1998505.04,2026-08-06,Paid,2026-08-06,DEP-04,PRJ-104
INV-60254,2026-02-16,PO-40268,GRN-50272,V-1049,Exicom Power Solutions,Batteries,273467.12,49224.08,322691.2,2026-03-18,Paid,2026-03-23,DEP-03,PRJ-103
INV-60255,2026-05-17,PO-40269,GRN-50273,V-1019,Sarvottam Plywood,Carpentry,3362.15,605.19,3967.34,2026-06-01,Paid,2026-05-30,DEP-02,PRJ-102
INV-60256,2026-08-27,PO-40270,GRN-50274,V-1044,Okaya Power,Batteries,395104.1,71118.74,466222.84,2026-09-11,Paid,2026-09-08,DEP-06,PRJ-106
INV-60257,2025-11-08,PO-40271,GRN-50275,V-1055,CERA Sanitaryware,Plumbing Materials,14942.13,2689.58,17631.71,2025-12-08,Paid,2025-12-12,DEP-03,PRJ-103
INV-60258,2025-11-18,PO-40271,GRN-50276,V-1055,CERA Sanitaryware,Plumbing Materials,14942.13,2689.58,17631.71,2025-12-18,Paid,2025-12-27,DEP-03,PRJ-103
INV-60259,2026-06-13,PO-40272,GRN-50277,V-1000,Havells India,Electrical,31533.07,5675.95,37209.02,2026-06-28,Pending,,DEP-01,PRJ-101
INV-60260,2026-08-13,PO-40273,GRN-50278,V-1004,V-Guard Industries,Electrical,213750.95,38475.17,252226.12,2026-09-12,Paid,2026-09-20,DEP-05,PRJ-105
INV-60261,2026-04-02,PO-40274,GRN-50279,V-1011,Greenply Industries,Carpentry,82481.61,14846.69,97328.3,2026-06-01,Paid,2026-06-11,DEP-01,PRJ-101
INV-60262,2025-11-01,PO-40275,GRN-50280,V-1057,Hindware Homes,Plumbing Materials,78557.45,14140.34,92697.79,2025-12-16,Paid,2025-12-15,DEP-01,PRJ-101
INV-60263,2025-11-11,PO-40275,GRN-50281,V-1057,Hindware Homes,Plumbing Materials,78557.45,14140.34,92697.79,2025-12-26,Paid,2026-01-04,DEP-01,PRJ-101
INV-60264,2025-12-03,PO-40276,GRN-50282,V-1021,ACC Limited,Road Construction Materials,939605.58,169129.0,1108734.58,2026-01-02,Paid,2026-01-07,DEP-01,PRJ-101
INV-60265,2026-04-06,PO-40277,GRN-50283,V-1033,Vikram Solar,Solar Panels,54659.8,9838.76,64498.56,2026-05-06,Paid,2026-05-15,DEP-04,PRJ-104
INV-60266,2025-10-18,PO-40278,GRN-50284,V-1058,Kajaria Ceramics,Plumbing Materials,26256.23,4726.12,30982.35,2025-12-17,Paid,2025-12-28,DEP-04,PRJ-104
INV-60267,2026-08-13,PO-40279,GRN-50285,V-1001,Polycab India,Electrical,1304.95,234.89,1539.84,2026-09-12,Paid,2026-09-08,DEP-05,PRJ-105
INV-60268,2025-11-15,PO-40280,GRN-50286,V-1039,Loom Solar,Solar Panels,532.76,95.9,628.66,2025-12-15,Paid,2025-12-06,DEP-06,PRJ-106
INV-60269,2026-07-28,PO-40281,GRN-50287,V-1000,Havells India,Electrical,24010.23,4321.84,28332.07,2026-08-12,Paid,2026-08-16,DEP-05,PRJ-105
INV-60270,2026-06-10,PO-40283,GRN-50289,V-1021,ACC Limited,Road Construction Materials,12398.44,2231.72,14630.16,2026-07-10,Paid,2026-07-19,DEP-05,PRJ-105
INV-60271,2025-10-07,PO-40284,GRN-50290,V-1031,Waaree Energies,Solar Panels,11134.48,2004.21,13138.69,2025-11-06,Paid,2025-11-01,DEP-03,PRJ-103
INV-60272,2026-01-19,PO-40285,GRN-50291,V-1029,L&T Construction Materials,Road Construction Materials,375993.47,67678.82,443672.29,2026-02-18,Paid,2026-02-25,DEP-01,PRJ-101
INV-60273,2026-01-09,PO-40286,GRN-50292,V-1027,JSW Steel,Road Construction Materials,271813.55,48926.44,320739.99,2026-02-08,Pending,,DEP-06,PRJ-106
INV-60274,2025-10-24,PO-40287,GRN-50293,V-1057,Hindware Homes,Plumbing Materials,6685.61,1203.41,7889.02,2025-12-08,Pending,,DEP-05,PRJ-105
INV-60275,2025-12-24,PO-40290,GRN-50295,V-1055,CERA Sanitaryware,Plumbing Materials,55656.22,10018.12,65674.34,2026-01-23,Paid,2026-01-17,DEP-02,PRJ-102
INV-60276,2026-06-15,PO-40291,GRN-50296,V-1040,Exide Industries,Batteries,139635.42,25134.38,164769.8,2026-07-30,Paid,2026-08-01,DEP-03,PRJ-103
INV-60277,2025-12-29,PO-40292,GRN-50297,V-1036,Emmvee Solar,Solar Panels,2522.7,454.09,2976.79,2026-02-12,Paid,2026-02-07,DEP-01,PRJ-101
INV-60278,2026-07-23,PO-40293,GRN-50298,V-1057,Hindware Homes,Plumbing Materials,25974.9,4675.48,30650.38,2026-09-06,Paid,2026-09-17,DEP-05,PRJ-105
INV-60279,2026-06-21,PO-40294,GRN-50299,V-1007,Schneider Electric India,Electrical,27599.89,4967.98,32567.87,2026-07-21,Paid,2026-07-21,DEP-04,PRJ-104
INV-60280,2026-05-26,PO-40295,GRN-50300,V-1039,Loom Solar,Solar Panels,2049.14,368.85,2417.99,2026-06-25,Paid,2026-06-26,DEP-04,PRJ-104
INV-60281,2026-07-26,PO-40296,GRN-50301,V-1022,Ambuja Cements,Road Construction Materials,23320.29,4197.65,27517.94,2026-08-10,Paid,2026-08-23,DEP-03,PRJ-103
INV-60282,2025-11-27,PO-40297,GRN-50302,V-1026,Tata Steel,Road Construction Materials,53428.87,9617.2,63046.07,2026-01-26,Paid,2026-02-02,DEP-06,PRJ-106
INV-60283,2025-12-07,PO-40298,GRN-50303,V-1050,Astral Pipes,Plumbing Materials,795.97,143.27,939.24,2026-02-05,Paid,2026-02-09,DEP-03,PRJ-103
INV-60284,2026-01-23,PO-40299,GRN-50304,V-1011,Greenply Industries,Carpentry,6618.4,1191.31,7809.71,2026-03-24,Paid,2026-03-30,DEP-06,PRJ-106
INV-60285,2025-11-30,PO-40301,GRN-50306,V-1048,Base Corporation,Batteries,36799.36,6623.88,43423.24,2025-12-30,Paid,2026-01-11,DEP-04,PRJ-104
INV-60286,2025-11-21,PO-40301,GRN-50307,V-1048,Base Corporation,Batteries,40888.18,7359.87,48248.05,2025-12-21,Paid,2025-12-25,DEP-04,PRJ-104
INV-60287,2026-05-13,PO-40302,GRN-50308,V-1044,Okaya Power,Batteries,147215.01,26498.7,173713.71,2026-05-28,Paid,2026-05-27,DEP-03,PRJ-103
INV-60288,2026-07-28,PO-40303,GRN-50309,V-1027,JSW Steel,Road Construction Materials,3061891.03,551140.39,3613031.42,2026-08-27,Paid,2026-09-05,DEP-03,PRJ-103
INV-60289,2025-10-08,PO-40304,GRN-50310,V-1004,V-Guard Industries,Electrical,2776.79,499.82,3276.61,2025-11-07,Paid,2025-11-07,DEP-06,PRJ-106
INV-60290,2026-03-26,PO-40305,GRN-50311,V-1044,Okaya Power,Batteries,55136.47,9924.56,65061.03,2026-04-10,Paid,2026-04-09,DEP-06,PRJ-106
INV-60291,2026-03-14,PO-40306,GRN-50312,V-1024,JK Cement,Road Construction Materials,157786.34,28401.54,186187.88,2026-04-13,Paid,2026-04-20,DEP-01,PRJ-101
INV-60292,2026-04-27,PO-40307,GRN-50313,V-1007,Schneider Electric India,Electrical,7964.97,1433.69,9398.66,2026-05-27,Paid,2026-05-19,DEP-01,PRJ-101
INV-60293,2025-10-09,PO-40308,GRN-50314,V-1012,Kitply Industries,Carpentry,19716.68,3549.0,23265.68,2025-10-24,Paid,2025-11-07,DEP-02,PRJ-102
INV-60294,2025-10-08,PO-40309,GRN-50315,V-1009,Orient Electric,Electrical,1409.08,253.63,1662.71,2025-10-23,Paid,2025-10-29,DEP-03,PRJ-103
INV-60295,2025-11-12,PO-40310,GRN-50316,V-1048,Base Corporation,Batteries,13408.76,2413.58,15822.34,2025-12-12,Paid,2025-12-18,DEP-01,PRJ-101
INV-60296,2026-06-07,PO-40311,GRN-50317,V-1022,Ambuja Cements,Road Construction Materials,7958.64,1432.56,9391.2,2026-06-22,Paid,2026-06-18,DEP-06,PRJ-106
INV-60297,2025-11-22,PO-40312,GRN-50318,V-1049,Exicom Power Solutions,Batteries,55590.63,10006.31,65596.94,2025-12-22,Paid,2026-01-01,DEP-05,PRJ-105
INV-60298,2026-08-08,PO-40313,GRN-50319,V-1020,UltraTech Cement,Road Construction Materials,32357.32,5824.32,38181.64,2026-09-07,Paid,2026-09-11,DEP-03,PRJ-103
INV-60299,2026-03-26,PO-40315,GRN-50320,V-1058,Kajaria Ceramics,Plumbing Materials,8708.67,1567.56,10276.23,2026-05-25,Paid,2026-05-23,DEP-04,PRJ-104
INV-60300,2026-05-21,PO-40316,GRN-50321,V-1036,Emmvee Solar,Solar Panels,10052.01,1809.36,11861.37,2026-07-05,Paid,2026-06-27,DEP-06,PRJ-106
INV-60301,2026-04-08,PO-40317,GRN-50322,V-1033,Vikram Solar,Solar Panels,2602.9,468.52,3071.42,2026-05-08,Paid,2026-05-05,DEP-06,PRJ-106
